1D;2D;3D;4D
338;234;191;276
188;174;263;322
360;316;373;224
128;150;209;366
386;138;273;262
137;189;237;230
183;383;239;344
274;373;178;158
186;315;157;138
319;267;335;363
342;240;170;107
374;399;380;212
250;256;244;396
365;214;214;328
153;239;122;230
310;358;228;116
316;230;149;171
315;285;218;293
290;149;293;108
164;308;199;292
392;281;388;203
205;399;259;112
112;296;160;206
199;247;175;158
227;222;211;124
358;100;198;181
232;296;132;385
172;127;205;181
352;375;318;400
264;319;275;157
122;118;204;174
138;307;255;384
245;232;269;373
301;150;200;104
245;119;131;141
189;164;178;225
281;158;244;251
347;187;113;349
202;372;343;177
376;339;114;361
172;319;234;164
353;284;315;318
103;248;281;104
335;207;123;320
123;275;135;256
148;217;373;171
388;166;246;324
316;272;125;146
342;353;182;118
139;335;377;258
151;135;317;318
328;162;232;166
362;231;164;287
226;110;153;233
227;269;183;302
252;273;150;279
284;292;120;372
347;119;345;143
336;274;223;152
322;287;224;203
213;256;322;189
324;381;221;287
310;218;182;241
280;389;161;373
100;280;178;158
314;229;131;334
342;359;121;318
297;247;319;206
298;295;299;139
351;141;304;131
233;346;324;142
398;348;312;121
246;387;358;256
382;380;269;376
110;163;136;284
230;280;276;130
266;155;194;173
322;217;258;227
129;103;157;250
372;335;363;393
274;371;323;270
311;265;301;148
152;265;338;156
307;301;158;188
385;373;309;241
241;369;381;384
389;197;222;251
244;291;285;194
299;328;248;145
329;222;156;254
209;394;264;396
377;207;376;188
158;317;361;266
209;286;221;330
391;114;217;326
320;352;107;167
373;209;220;371
259;160;325;254
175;263;132;321
381;387;313;303
367;349;215;201
395;268;300;372
261;349;113;292
277;319;385;126
147;285;221;141
184;131;226;246
226;335;334;176
271;111;350;167
222;315;291;304
189;277;312;133
300;359;191;187
219;300;283;379
375;388;280;195
119;318;261;172
114;194;266;103
244;367;217;326
338;138;112;376
380;265;398;230
121;278;208;349
206;125;134;303
238;323;240;392
219;322;265;134
138;154;102;109
185;261;234;353
330;224;123;243
295;106;377;310
218;355;316;311
249;357;295;239
384;262;360;361
215;230;187;208
193;144;121;115
333;271;150;143
301;396;368;329
286;178;207;333
316;120;132;163
247;209;288;117
139;188;372;224
145;177;394;206
218;187;238;230
219;346;174;211
185;104;394;153
301;104;182;216
141;390;224;179
265;166;142;245
123;173;393;321
387;302;263;352
104;180;382;191
152;303;384;289
177;227;384;205
188;394;202;101
137;157;101;105
286;203;208;392
339;397;355;144
232;269;103;211
345;260;263;115
177;181;197;270
187;129;174;121
178;118;195;176
178;375;266;128
332;304;108;383
232;385;209;382
102;289;165;341
176;284;312;214
297;351;206;296
380;184;234;148
248;282;148;152
386;395;205;138
188;206;266;187
213;309;149;101
277;333;319;371
137;177;124;124
265;214;159;305
193;163;377;390
287;174;309;239
304;275;208;353
270;220;182;176
322;251;334;302
329;178;299;145
156;284;100;303
140;108;166;252
310;192;109;143
278;158;185;251
276;385;209;120
294;121;309;214
254;198;292;207
146;226;295;369
165;353;191;267
115;225;143;226
137;316;185;204
150;267;222;399
192;378;371;331
253;307;224;156
158;357;192;106
113;135;336;334
378;249;221;241
198;316;111;352
129;162;144;109
383;360;239;237
230;364;395;103
399;251;299;336
247;376;217;301
255;307;133;216
262;264;152;321
184;362;191;252
201;383;299;180
120;282;285;305
146;231;129;237
371;154;200;222
247;308;194;301
171;289;375;171
147;343;251;191
397;170;145;123
220;202;333;370
345;102;176;310
312;385;164;393
375;188;303;298
386;229;202;346
349;114;375;288
180;358;104;210
335;123;192;358
287;337;322;229
390;118;344;271
285;142;394;350
225;220;254;333
108;184;288;122
180;349;211;180
372;289;363;233
368;120;302;396
355;102;176;323
295;381;258;375
112;250;285;144
197;126;392;145
250;163;174;344
255;321;378;187
117;290;115;109
319;324;257;309
101;109;243;347
139;124;280;277
286;167;196;135
259;162;216;158
385;130;147;156
270;311;180;257
164;332;392;100
381;380;345;359
296;187;211;346
137;307;362;202
232;104;165;192
318;281;349;246
234;262;394;146
148;179;239;379
127;334;110;193
134;110;293;305
126;277;346;311
311;391;168;396
168;341;339;204
203;271;270;110
126;220;370;255
161;271;227;395
184;161;316;368
383;271;135;303
176;398;147;192
215;248;272;251
296;340;253;126
209;180;333;236
173;197;144;368
199;118;194;177
279;262;309;253
239;117;189;247
179;390;166;121
260;247;289;394
375;136;356;347
339;129;325;149
359;196;101;318
127;197;292;211
180;399;261;185
293;324;122;254
100;202;146;247
213;209;359;380
316;126;177;102
327;101;359;334
268;393;323;292
260;198;277;177
282;345;127;162
251;227;127;102
211;237;142;205
251;146;307;200
137;288;148;347
160;361;375;257
251;215;361;345
248;350;332;209
368;253;375;327
325;270;245;300
397;324;241;256
290;396;284;380
126;244;339;225
118;301;250;274
385;204;148;151
276;184;121;321
303;138;184;294
258;331;313;391
225;101;136;231
116;213;149;218
143;281;177;355
144;329;297;174
