1D;2D;3D;4D
129;279;155;388
211;193;309;152
134;167;340;163
237;312;236;125
241;191;250;322
219;197;107;162
278;377;319;394
285;236;103;317
267;345;328;181
121;305;128;284
187;342;161;153
141;158;207;250
203;108;272;129
103;149;297;352
181;256;224;273
267;189;130;132
205;171;227;327
136;135;176;353
367;208;159;385
116;262;368;232
189;351;150;370
398;139;240;172
208;297;357;294
379;333;120;125
146;344;191;322
379;134;281;369
150;232;364;305
219;269;177;263
269;315;326;385
196;292;239;396
222;224;173;189
193;160;128;239
175;120;374;267
124;310;131;218
318;339;136;127
343;396;200;198
311;104;210;367
284;348;337;342
362;369;315;204
312;133;139;351
225;349;384;151
386;261;232;162
259;255;274;341
196;220;105;285
301;124;173;215
140;168;299;194
105;281;229;144
297;340;302;331
221;317;294;186
235;117;352;103
370;197;273;381
140;350;108;324
328;258;135;208
200;298;179;317
259;248;129;158
234;138;310;393
390;388;312;357
180;378;160;373
249;137;293;110
128;111;157;292
322;317;310;291
331;137;367;223
202;229;382;360
386;117;194;367
326;299;102;311
233;293;119;234
165;141;298;367
121;333;128;175
198;240;370;123
147;224;198;160
396;330;396;269
295;231;200;177
223;397;323;297
383;182;300;400
366;202;292;117
326;191;210;341
255;293;295;105
134;362;110;143
107;342;281;216
151;321;230;400
154;185;253;371
199;336;244;153
258;282;141;257
281;121;271;116
302;162;303;317
242;338;169;280
126;127;157;247
353;119;172;395
229;387;180;260
289;362;223;150
367;293;310;218
266;255;131;160
200;203;165;324
245;269;155;270
161;242;173;302
198;268;100;365
124;120;175;228
268;318;373;164
208;399;297;318
367;340;220;171
