1D;2D;3D;4D
292;174;229;277
383;295;326;350
254;307;342;155
294;259;217;243
340;181;286;230
230;255;254;105
309;141;133;310
382;366;380;130
244;161;346;211
131;279;109;201
302;159;364;267
352;129;312;249
218;333;396;355
366;207;173;111
260;327;348;308
297;133;340;230
362;261;208;349
306;341;301;234
366;368;273;183
302;298;252;223
141;334;240;189
142;229;184;280
261;324;354;166
139;242;165;135
369;265;279;230
245;396;237;222
155;129;397;242
104;354;392;175
174;120;313;393
219;137;369;219
124;118;139;129
117;351;373;314
116;184;120;260
214;264;165;305
261;244;334;132
199;350;116;332
345;205;296;226
255;235;233;344
230;279;367;108
106;387;332;356
307;223;155;176
296;220;220;224
279;131;377;110
339;324;375;177
149;318;399;221
144;249;278;300
255;261;373;219
150;201;213;180
261;340;240;399
301;108;217;307
346;268;355;334
274;376;391;189
367;242;242;101
272;399;345;142
391;320;281;219
167;132;359;223
300;197;252;201
129;272;385;170
326;218;220;298
133;326;134;190
194;329;367;309
214;148;109;169
331;307;144;150
120;354;193;272
395;340;309;372
187;237;202;310
333;104;191;370
356;367;357;108
397;174;354;345
183;372;218;158
306;163;190;381
236;313;111;324
276;195;172;362
370;384;154;285
398;190;323;108
291;214;201;304
189;260;147;318
394;201;126;351
150;297;329;261
276;259;256;178
317;362;393;193
162;193;296;174
315;338;331;258
183;369;385;157
331;159;264;127
231;321;269;263
129;376;123;390
219;379;321;248
292;207;361;307
340;127;109;258
353;272;307;375
278;112;338;145
201;273;312;238
325;168;243;377
391;297;130;365
256;203;129;346
186;365;168;302
306;251;382;202
316;281;229;101
203;244;327;393
