1D;2D;3D;4D
226;256;112;249
387;360;259;313
266;389;312;223
159;294;106;161
265;185;157;340
364;360;275;152
235;198;214;212
246;202;115;144
134;131;336;285
170;175;108;400
360;155;322;395
341;216;152;245
253;342;383;232
332;392;292;249
215;398;295;209
279;168;287;206
296;272;363;358
295;354;196;237
230;367;200;205
356;193;274;305
385;245;320;184
399;194;160;330
385;307;348;111
336;176;111;111
294;283;320;139
105;200;185;229
111;132;182;324
335;118;143;125
235;251;113;258
110;230;260;100
347;326;176;368
201;220;180;228
279;323;388;266
293;113;207;378
101;355;344;175
181;346;242;332
233;392;147;262
338;387;231;170
350;184;108;195
393;331;337;389
238;390;218;166
199;306;369;275
103;198;168;389
389;395;140;282
256;340;219;210
108;137;380;214
386;341;144;399
174;250;290;267
159;132;257;157
134;392;112;265
218;337;180;300
375;194;150;311
255;321;378;216
343;197;151;384
137;167;342;307
217;151;185;350
193;298;192;320
347;201;248;212
355;324;344;116
188;249;169;147
379;188;324;223
290;230;332;191
374;109;192;118
298;364;237;254
155;319;250;164
392;390;280;339
307;171;266;146
217;399;295;295
129;171;254;129
151;352;303;276
161;104;144;207
322;331;105;104
222;134;322;358
254;169;341;340
224;159;322;367
273;347;109;142
357;200;314;357
281;102;166;195
142;342;280;216
167;334;359;303
248;188;168;345
294;328;370;311
144;186;374;149
304;352;186;281
269;393;395;325
112;319;381;282
114;100;199;143
305;236;270;379
326;392;376;230
131;207;377;317
255;380;115;148
112;213;386;106
212;184;325;219
289;212;294;357
379;175;225;283
187;387;271;322
387;231;212;277
395;143;387;279
183;240;166;379
262;248;114;265
301;262;291;223
271;162;331;174
240;204;362;152
106;169;129;102
375;112;377;107
231;352;340;358
142;341;141;255
278;377;226;344
317;124;368;269
115;352;324;392
317;194;285;345
344;316;262;187
186;218;357;165
252;389;232;136
222;338;374;292
173;127;137;165
315;152;148;207
113;308;183;225
307;362;352;394
260;142;332;225
261;387;194;357
233;349;335;377
397;131;342;357
304;145;373;260
218;289;135;242
140;329;337;298
371;131;372;133
258;182;148;135
396;142;322;255
171;176;127;142
146;361;174;185
308;397;110;190
337;247;105;315
170;187;340;107
383;342;243;133
226;185;267;193
312;109;318;329
218;363;263;189
164;139;290;335
332;268;397;144
311;113;282;115
378;197;274;126
367;123;173;225
328;254;326;384
357;377;309;116
120;182;187;280
385;194;176;100
148;171;263;234
386;293;325;277
317;390;189;189
311;123;339;171
398;136;248;212
155;226;194;245
228;370;213;206
378;309;400;149
212;132;262;147
259;152;315;291
284;155;269;159
203;301;259;208
171;340;231;380
264;304;219;113
127;186;171;215
338;219;135;263
264;346;120;133
288;120;205;307
140;257;230;287
392;170;385;246
266;353;269;345
319;392;388;130
370;263;191;324
146;221;187;274
329;193;344;355
128;389;280;332
209;111;255;242
170;133;254;320
367;200;317;158
103;107;318;266
368;114;393;190
366;132;292;181
332;396;382;239
315;198;355;127
145;172;316;203
362;396;300;397
130;305;316;251
250;110;223;115
393;169;117;346
216;275;386;267
222;159;370;355
197;186;363;365
191;239;208;149
131;346;278;295
219;372;215;342
287;233;315;182
192;218;351;353
138;250;332;390
243;223;394;182
330;266;317;249
391;394;116;354
310;395;330;188
146;375;340;118
395;298;231;326
285;288;140;240
183;273;396;183
304;275;355;115
343;185;174;394
128;279;345;176
380;379;304;206
178;117;355;145
286;154;241;300
327;216;304;398
243;103;243;227
381;151;276;335
375;365;353;110
199;242;353;356
314;367;186;316
321;214;130;211
264;217;253;177
106;224;248;294
193;213;285;310
115;177;288;140
365;338;228;279
152;369;320;334
389;371;130;325
302;266;206;179
325;335;392;257
373;316;201;109
331;239;205;295
323;268;347;212
171;189;283;164
160;374;239;301
327;259;241;397
176;251;139;146
136;288;103;304
296;114;336;205
304;109;115;390
141;303;314;223
356;133;158;194
163;262;145;138
383;368;272;210
320;342;121;111
335;195;169;207
302;391;124;377
299;230;391;146
358;185;305;143
226;288;318;131
