1D;2D;3D;4D
108;297;135;390
279;287;380;394
198;283;268;153
381;279;117;277
177;303;154;306
257;122;196;263
208;293;118;375
247;176;384;366
186;137;341;385
298;379;187;191
138;157;178;309
266;219;295;120
220;125;391;151
361;361;377;257
119;230;263;216
141;375;400;302
175;133;129;118
264;312;382;354
359;341;120;280
180;114;177;397
182;376;193;288
300;318;297;276
110;142;236;268
330;101;366;327
267;297;133;279
296;277;248;143
196;290;325;391
288;329;211;207
220;359;293;371
157;221;121;134
302;238;315;235
346;177;224;178
354;105;278;327
205;372;197;369
162;218;322;337
397;192;157;110
100;171;146;378
181;301;160;320
322;303;307;193
167;264;122;148
205;203;274;282
331;107;106;165
194;135;176;150
374;366;307;360
177;391;385;331
135;397;102;246
247;122;189;312
261;281;305;132
139;314;188;292
170;164;386;177
326;157;391;233
256;164;354;204
291;357;184;201
122;349;134;302
318;117;205;158
279;321;279;143
112;188;349;318
250;135;126;122
206;363;330;365
302;365;297;285
128;321;385;270
320;316;349;124
292;180;338;248
277;367;315;349
291;143;394;275
170;226;329;122
134;287;226;114
261;378;311;397
221;249;298;319
152;137;226;165
212;393;278;151
203;367;321;179
178;279;370;372
254;191;151;183
129;306;116;336
255;227;288;223
189;350;303;320
239;267;193;270
179;168;215;350
327;355;392;336
313;180;198;397
324;361;332;186
333;141;300;158
238;326;270;395
373;391;137;110
248;222;118;108
252;193;177;229
234;201;228;103
304;169;381;349
323;344;189;187
235;163;205;173
392;155;191;362
151;202;297;292
107;271;387;385
287;366;388;392
148;320;362;195
392;307;296;110
209;388;172;339
247;304;283;364
281;350;236;328
128;134;249;111
367;308;213;164
353;160;158;316
130;258;242;207
204;215;397;326
295;304;234;340
115;365;273;347
302;181;173;142
267;395;111;224
218;104;363;162
256;227;213;237
158;334;263;258
230;103;398;180
139;285;251;393
148;174;200;268
122;286;215;253
270;120;396;356
133;354;353;167
344;271;127;195
283;321;235;304
355;380;210;269
210;269;253;339
272;203;171;172
331;191;392;289
119;112;150;396
124;172;180;206
171;167;245;357
109;275;305;400
217;369;170;283
377;140;160;225
241;135;233;301
327;254;350;155
273;223;197;295
330;256;343;155
386;240;263;192
328;370;344;175
337;215;190;290
278;159;166;266
334;391;388;371
360;295;123;151
368;375;182;225
179;293;175;113
120;313;367;205
353;322;149;343
327;359;189;251
239;152;190;262
187;195;337;286
111;137;223;111
248;137;118;320
336;319;220;283
318;157;299;357
175;158;309;337
119;125;307;296
255;321;270;272
392;298;281;200
136;357;213;101
383;351;172;361
260;105;106;152
330;350;241;386
362;171;327;235
151;180;331;143
271;385;243;323
212;293;290;117
282;218;213;184
192;131;261;115
264;265;317;265
292;147;234;166
308;212;109;307
287;184;177;174
339;165;191;324
188;212;126;216
270;153;386;286
365;141;212;186
280;166;199;161
396;373;214;213
220;333;236;306
113;275;241;286
170;327;394;383
313;282;380;188
215;269;135;309
169;361;123;269
271;152;296;163
339;334;229;322
109;330;220;191
114;235;212;179
122;293;116;288
342;352;202;285
307;374;396;266
138;235;169;175
329;388;195;381
339;110;282;130
361;293;357;288
385;219;308;229
287;334;276;178
399;152;398;370
201;134;322;322
311;232;304;375
105;380;352;292
356;314;208;284
251;109;108;270
150;253;121;342
278;298;258;247
358;396;320;292
275;396;157;154
336;133;156;204
189;338;359;119
277;273;180;362
106;386;207;315
221;137;335;226
395;247;306;249
279;170;273;293
229;268;116;338
335;257;354;268
234;272;219;273
394;301;329;106
388;122;327;257
262;103;185;233
189;205;123;184
249;396;121;207
254;282;397;138
350;358;114;199
344;274;343;185
323;265;109;391
133;105;229;181
354;105;373;391
166;288;308;132
350;208;123;199
131;131;283;367
240;296;159;338
106;307;304;187
319;143;194;202
150;174;177;245
146;284;236;265
305;376;118;370
360;352;244;391
117;360;365;191
400;123;325;263
195;320;321;139
190;299;260;162
311;273;296;327
346;362;249;139
144;180;232;380
205;219;319;254
178;110;298;380
375;359;376;226
298;181;272;110
251;100;339;243
123;309;270;217
227;400;381;184
146;337;258;161
309;132;113;303
395;103;301;301
172;308;258;236
241;162;190;124
368;324;271;182
296;327;148;356
329;358;194;155
262;166;277;199
316;331;373;111
285;125;180;380
376;382;330;133
330;189;351;287
183;205;305;228
249;358;201;334
340;208;165;275
111;231;290;321
372;311;189;300
248;255;167;216
229;391;281;153
346;204;259;263
276;367;388;154
164;113;251;180
175;199;190;391
346;242;393;279
103;183;179;391
149;114;324;312
341;361;122;356
359;183;191;259
277;245;158;144
346;207;231;220
391;358;215;208
275;258;356;111
186;304;181;150
128;107;300;338
249;113;215;388
320;289;313;314
287;161;375;333
307;269;208;252
379;219;142;221
280;136;319;157
175;340;102;179
366;293;358;365
312;343;126;308
242;134;273;309
326;335;215;294
341;355;171;195
268;303;220;122
365;353;103;185
158;148;180;252
149;201;100;347
300;390;133;180
111;289;359;241
367;139;207;145
212;285;117;287
360;326;264;196
331;298;216;157
335;337;222;163
114;356;386;166
353;321;149;221
230;181;373;379
379;115;243;261
135;220;327;319
174;110;102;366
210;244;111;196
241;336;382;234
215;326;376;305
171;162;188;395
223;239;368;261
273;151;396;258
390;253;115;169
340;257;204;247
377;233;131;212
248;299;326;290
244;164;194;114
379;363;247;291
270;211;358;361
157;218;244;230
312;222;393;326
292;218;284;259
352;113;211;367
367;338;207;297
382;127;109;123
313;147;194;356
203;173;265;222
233;265;183;352
291;399;377;236
299;332;191;316
375;161;291;101
116;356;162;277
385;131;178;282
151;133;255;332
283;234;390;288
270;239;389;155
129;239;186;350
117;183;267;254
247;307;181;228
381;148;177;275
270;138;387;398
268;359;275;392
219;347;339;100
346;297;293;140
129;128;234;222
364;237;282;308
203;238;142;250
