1D;2D;3D;4D
112;248;298;332
190;344;359;371
340;149;176;243
265;279;122;104
354;223;356;154
320;394;115;219
288;163;159;217
385;202;329;348
170;212;134;380
373;245;235;321
382;135;364;396
392;235;106;381
199;357;216;268
157;250;381;380
148;329;346;372
313;156;223;152
119;157;305;327
391;175;216;319
354;246;363;186
227;285;351;322
127;274;301;155
380;287;397;211
168;230;362;340
205;215;157;140
168;323;145;199
273;168;361;306
218;128;162;171
399;361;382;121
339;149;251;149
230;285;133;290
168;392;129;392
174;141;250;360
246;280;267;327
241;369;328;102
285;169;390;198
250;358;125;146
112;275;116;341
122;212;140;339
313;291;201;135
242;369;358;361
285;150;328;253
202;141;377;337
135;315;118;290
347;124;274;161
293;332;145;228
133;267;374;273
168;196;347;311
349;290;343;247
217;174;353;339
355;162;136;146
166;303;353;116
109;386;136;213
332;363;207;373
174;337;112;111
304;282;371;123
283;354;188;361
351;255;315;126
183;385;299;109
302;320;347;385
360;139;284;146
307;315;247;198
364;191;204;391
236;301;241;279
340;214;228;146
202;131;344;277
347;216;392;282
247;172;314;245
303;236;122;129
135;164;374;400
274;296;197;379
235;188;237;158
132;241;112;217
291;162;158;397
292;130;293;243
172;316;185;327
288;162;192;171
241;273;145;167
204;270;240;197
356;207;257;153
280;225;193;244
398;112;275;220
234;243;148;102
257;156;335;140
193;336;307;365
109;135;380;263
244;221;326;291
331;241;268;326
103;174;162;358
227;328;326;400
246;375;138;146
215;371;135;282
322;219;327;111
133;352;122;312
206;199;175;155
354;276;340;341
237;374;286;231
385;311;211;246
310;190;380;251
249;398;324;124
138;238;346;111
120;285;374;362
148;355;110;392
153;142;282;323
394;193;390;237
390;138;386;179
177;167;243;387
235;199;276;223
315;119;197;170
145;293;295;379
244;129;341;300
328;212;400;349
247;367;226;192
270;153;236;101
232;162;172;101
389;101;342;168
356;266;295;284
199;123;146;233
228;259;370;200
275;288;149;348
382;400;106;314
315;178;174;137
105;221;375;361
276;178;355;356
216;397;371;310
307;346;202;251
278;314;288;372
291;376;187;340
190;368;186;222
382;362;259;187
287;130;347;383
218;255;317;186
167;230;390;188
242;287;358;166
295;184;370;159
213;107;298;338
210;359;326;188
273;125;123;102
175;257;174;286
276;179;300;169
213;305;160;355
144;110;126;350
288;304;269;333
264;254;351;192
378;353;116;348
139;164;234;140
295;370;316;254
143;395;294;331
323;377;298;318
201;248;127;162
346;231;153;298
336;378;114;219
324;167;202;125
358;184;107;254
336;258;395;141
344;240;330;399
176;350;137;188
240;316;385;370
191;117;171;273
305;343;186;142
321;121;212;318
122;326;344;262
197;205;183;386
125;172;173;172
360;212;207;205
393;107;292;318
339;225;364;130
369;141;283;172
166;292;296;143
117;344;129;187
131;180;266;342
146;151;397;136
339;324;288;323
179;370;104;313
239;393;193;373
143;365;375;368
311;211;113;106
313;223;121;330
176;247;377;392
231;134;166;234
244;315;319;153
195;357;389;280
361;362;203;376
339;100;233;135
293;205;101;242
225;114;274;152
226;299;400;253
288;225;380;325
140;363;105;309
117;387;366;329
375;252;185;248
205;354;222;352
252;340;242;249
347;353;322;302
122;351;346;290
163;287;354;369
392;202;267;270
324;158;315;197
369;375;218;219
201;194;121;122
375;219;285;201
180;380;222;368
175;198;142;257
121;277;353;274
269;392;156;394
231;127;393;178
312;255;193;275
231;273;290;114
302;116;282;259
169;228;121;389
361;258;300;366
189;132;194;330
241;287;374;311
152;225;391;176
349;353;316;350
111;340;243;197
266;383;288;373
370;220;258;383
289;235;159;137
272;363;130;102
293;103;262;338
132;288;178;263
152;127;331;126
218;106;353;114
351;163;131;180
314;256;292;293
385;257;172;275
207;226;197;176
239;316;345;361
339;264;224;331
265;268;395;353
216;191;355;231
217;220;163;287
243;266;293;280
332;119;168;283
157;130;366;132
335;247;358;336
219;275;168;313
246;273;357;307
254;381;337;118
382;325;398;266
286;140;134;223
358;364;334;276
121;183;249;347
138;275;390;316
340;364;191;125
270;216;292;285
289;115;157;182
345;213;214;221
269;279;100;191
371;277;101;108
213;128;195;317
218;345;377;254
271;265;289;129
162;173;389;256
251;141;254;131
183;203;109;249
219;236;278;355
174;150;217;282
356;259;283;139
110;317;190;104
228;290;130;218
316;197;276;236
211;128;144;330
172;293;254;241
197;133;368;311
187;275;179;336
328;198;259;217
369;205;192;320
255;261;233;109
287;318;120;260
392;374;393;229
131;370;345;141
325;114;339;205
367;366;381;359
140;349;330;329
232;180;176;102
312;391;232;114
296;234;177;113
394;363;242;188
224;251;101;269
391;181;166;118
115;135;103;227
317;381;260;250
107;393;347;180
363;158;352;137
167;134;391;126
349;269;279;216
286;393;316;137
170;122;322;289
220;240;305;291
175;267;307;364
387;255;246;126
348;123;388;280
390;318;257;381
369;369;198;153
197;239;393;233
276;128;244;104
120;205;238;319
123;337;301;311
285;124;211;113
154;228;205;381
332;316;398;138
215;220;352;240
322;223;347;366
100;302;245;154
346;157;135;195
265;360;343;244
231;308;158;248
158;236;222;203
148;378;312;225
271;265;173;262
257;333;360;388
233;162;214;273
285;277;320;287
119;156;223;153
122;156;400;156
189;110;248;381
365;259;177;264
130;144;362;261
270;210;302;251
156;152;178;226
176;290;290;347
335;275;292;301
100;246;360;204
234;279;161;161
279;173;207;250
384;302;223;141
301;168;311;172
111;234;247;393
249;110;187;313
162;266;119;364
253;128;374;332
135;329;130;239
101;400;292;319
334;281;205;383
170;153;115;113
260;215;319;307
263;196;215;160
191;150;391;326
148;187;277;260
100;241;194;187
176;347;351;305
268;217;198;316
349;362;177;381
397;191;177;143
219;233;174;343
282;105;106;109
259;281;254;222
166;327;341;308
279;323;389;360
398;239;223;261
137;289;138;252
246;213;175;246
206;234;325;180
390;386;380;261
320;277;386;395
316;355;146;278
302;360;289;318
347;162;227;210
352;161;337;153
338;151;161;362
384;318;208;178
332;207;253;377
172;110;235;322
229;236;243;248
167;331;284;162
344;384;240;153
229;215;196;205
357;331;127;179
357;127;280;284
165;110;224;311
195;282;259;312
246;366;324;398
329;161;214;214
124;201;109;298
316;334;124;311
228;350;304;391
383;395;317;303
395;172;378;109
313;330;146;246
376;138;187;263
221;164;360;217
280;169;205;239
366;214;307;282
220;189;194;270
285;198;310;303
264;169;393;396
276;255;120;286
102;175;160;197
400;333;245;323
313;276;296;205
259;114;373;386
212;210;103;171
328;300;354;122
255;365;130;338
292;395;339;336
140;166;234;398
338;246;223;234
386;300;253;365
266;190;129;121
191;238;220;279
232;205;309;171
156;316;322;189
287;173;293;274
356;351;377;339
196;150;198;325
203;397;398;232
218;319;261;155
246;131;337;116
366;207;316;264
269;144;358;339
130;333;329;209
329;179;190;272
284;256;221;329
290;294;257;115
175;333;273;361
325;349;368;340
189;103;352;317
316;132;358;134
208;393;281;191
224;387;344;183
331;251;217;205
300;226;251;168
165;274;175;398
168;373;398;117
343;309;153;222
146;379;129;239
248;295;386;286
267;344;228;328
270;168;176;380
198;175;332;297
161;251;325;376
160;221;121;131
167;328;177;103
378;192;282;159
239;189;282;273
313;307;364;214
299;400;132;100
209;188;112;137
113;234;277;344
175;293;269;330
122;327;149;291
345;359;169;398
315;138;385;110
374;102;262;124
203;202;141;375
210;317;215;199
234;173;207;275
272;300;370;135
157;136;385;374
163;159;144;241
306;125;294;379
223;380;186;158
395;152;257;177
113;323;329;177
271;150;304;249
137;328;252;379
146;340;240;359
333;186;108;290
210;383;349;301
262;325;149;283
280;350;340;214
105;373;273;232
381;397;371;317
313;269;151;119
294;374;250;119
204;357;379;269
282;237;388;138
275;248;396;206
298;317;357;312
239;380;226;173
229;109;119;392
384;138;156;304
273;115;360;336
111;388;184;119
381;352;244;234
265;324;272;308
102;231;184;232
339;270;244;173
268;216;269;161
215;292;137;333
106;182;243;349
233;287;141;184
173;248;395;181
336;156;358;120
253;289;263;249
347;203;321;171
220;185;307;196
161;378;311;223
168;269;110;289
244;216;140;398
321;394;374;328
262;205;348;302
309;297;360;137
159;211;208;211
297;322;365;330
361;300;114;242
372;244;181;152
146;365;237;327
277;313;304;170
