1D;2D;3D
882;869;938
258;274;102
797;708;984
162;252;34
340;223;295
28;17;182
49;161;303
207;46;113
327;237;273
925;747;661
142;84;161
671;800;828
710;863;762
86;207;15
873;762;990
709;882;785
65;17;96
827;683;782
916;679;897
189;98;73
878;748;886
844;690;875
721;783;939
934;813;945
740;869;685
837;821;940
965;896;799
6;181;151
333;248;124
686;698;800
650;893;662
112;223;50
839;749;654
982;653;869
955;884;959
851;758;908
219;123;274
654;666;933
254;175;185
156;350;240
804;984;770
655;713;705
736;740;890
340;203;77
926;984;796
851;811;674
670;887;664
299;350;307
878;701;693
23;60;258
701;725;841
968;783;896
188;271;212
921;782;656
234;45;278
85;335;152
332;240;180
210;135;325
922;675;717
111;76;330
875;787;787
294;346;242
674;999;875
236;144;320
270;270;272
818;847;724
971;677;655
333;274;112
232;189;153
782;767;717
168;171;52
160;288;206
345;232;62
652;692;690
59;44;25
36;35;178
347;187;30
141;69;224
68;117;71
221;71;103
985;965;812
157;346;94
684;887;781
907;879;759
208;322;170
52;46;279
321;120;307
653;803;878
56;63;56
710;936;932
831;908;956
227;334;235
330;105;299
759;933;973
940;776;816
115;155;146
914;998;988
286;332;240
276;36;118
818;706;866
913;746;857
931;681;924
661;825;695
885;784;759
231;291;227
156;158;40
30;241;231
712;668;919
660;786;854
310;150;264
291;329;288
857;696;960
220;337;342
953;709;844
256;48;127
118;266;145
665;783;882
105;191;281
245;111;51
130;150;177
40;165;109
2;246;114
871;820;909
135;195;63
720;849;660
7;22;199
310;228;206
957;993;848
148;177;64
38;146;205
809;873;812
774;746;749
763;936;963
938;992;919
184;5;41
161;257;194
659;810;931
75;100;337
196;284;31
317;190;113
18;136;284
185;170;227
706;989;839
861;723;804
776;979;783
55;280;99
847;720;830
233;91;30
981;878;824
742;812;673
995;976;740
165;156;264
835;735;973
223;29;121
924;673;707
841;924;925
708;892;762
847;811;954
198;197;268
47;204;219
850;912;940
730;944;650
119;308;26
808;919;770
126;74;162
941;852;767
822;869;971
346;164;166
699;911;912
243;56;34
107;347;107
139;22;285
844;789;829
337;199;198
223;256;163
700;916;755
761;858;777
871;670;960
235;233;207
652;862;968
707;834;715
741;850;916
314;39;233
728;682;817
853;821;897
812;738;903
240;252;89
698;779;679
71;181;315
211;292;320
17;111;22
296;193;60
681;971;686
22;106;51
338;338;48
967;903;732
235;128;18
812;873;987
224;143;331
46;135;257
247;270;282
294;129;121
127;104;15
346;109;346
203;34;81
836;845;842
214;80;99
791;806;921
834;873;999
25;229;202
7;301;159
878;785;723
765;736;690
893;885;709
965;942;711
839;836;794
991;667;722
706;905;999
749;961;865
137;3;188
157;217;147
13;214;329
49;247;113
752;894;958
794;895;805
771;932;983
948;804;826
38;171;90
881;800;705
333;107;135
36;231;173
661;828;971
61;150;272
661;768;832
688;734;779
998;682;885
226;64;72
134;3;252
4;105;262
769;676;792
702;900;967
686;800;694
81;314;154
323;14;146
704;918;763
779;871;696
277;63;228
256;324;145
14;242;241
796;726;841
295;74;115
986;670;812
931;959;779
115;212;44
11;212;202
103;341;35
704;804;896
42;122;178
689;785;855
332;303;205
859;762;656
844;665;989
18;30;195
321;68;268
302;223;148
876;893;903
975;738;807
43;99;75
872;985;675
317;137;140
97;179;204
883;888;739
999;687;938
173;47;257
243;222;39
270;106;54
866;831;876
296;317;11
878;809;729
249;32;186
260;270;285
950;704;797
762;857;778
141;52;350
992;769;946
231;153;143
259;43;326
664;659;987
188;235;215
865;682;958
885;664;817
64;215;116
910;832;719
950;687;978
54;247;240
294;69;272
52;275;249
747;915;961
918;785;900
114;285;205
979;836;800
