1D;2D;3D
215;196;313
932;749;792
811;820;762
836;763;728
177;340;195
778;962;756
871;823;796
658;971;746
193;338;33
248;204;346
892;997;936
740;938;839
304;135;344
323;193;133
219;130;252
687;681;925
46;243;210
683;911;909
31;169;39
273;194;122
975;996;860
907;742;663
659;928;923
920;854;776
2;156;245
210;295;11
285;225;72
996;873;895
838;896;758
168;227;350
793;711;868
200;320;205
311;190;263
657;870;876
46;306;116
939;843;667
239;249;138
870;667;756
350;295;277
877;768;899
18;258;15
67;125;31
746;982;733
99;164;4
198;268;170
767;974;823
305;109;169
17;250;81
800;742;852
766;783;652
991;726;697
957;812;704
177;83;329
252;158;80
807;663;874
349;259;99
138;286;187
713;759;677
116;13;252
282;338;294
872;659;759
950;808;822
217;240;317
92;262;167
248;114;206
161;83;123
861;839;807
27;211;248
803;789;693
121;320;134
878;964;708
17;212;36
161;133;206
865;887;855
28;94;137
790;760;721
913;969;775
40;59;191
804;844;876
334;5;288
851;992;963
169;19;47
212;225;178
806;743;863
30;55;348
199;111;95
64;86;201
804;812;939
103;35;207
102;14;37
896;675;716
719;728;684
723;791;932
780;781;990
179;111;50
867;983;684
975;977;741
890;878;742
899;848;958
747;882;979
