1D;2D;3D
919;874;842
958;746;693
656;857;830
677;799;872
297;138;189
281;283;78
347;26;269
347;75;195
746;745;664
10;112;214
168;322;46
818;778;952
46;151;262
292;208;44
170;92;190
687;831;795
248;124;304
74;114;114
863;833;697
212;216;304
262;141;50
68;124;76
44;292;221
925;731;933
262;224;138
342;297;155
929;662;816
227;337;56
669;657;695
790;967;836
761;957;719
688;893;858
173;11;177
745;671;785
235;153;14
845;807;896
278;264;233
216;145;293
754;883;689
964;963;795
1;219;94
150;108;270
930;725;933
233;78;268
987;661;948
65;145;305
254;315;225
871;871;694
921;741;995
955;650;836
701;860;927
735;857;749
268;243;340
941;715;998
65;74;168
864;731;672
145;269;213
128;134;338
773;943;882
143;151;235
810;702;666
720;720;864
721;780;796
773;685;795
945;804;954
850;701;723
226;346;152
664;907;669
191;277;251
931;848;856
201;31;167
959;707;781
278;163;152
975;926;755
824;970;771
33;237;38
149;86;258
191;347;297
55;287;276
29;284;244
313;160;345
722;823;928
255;242;63
112;175;42
829;979;944
251;87;145
337;342;64
215;17;259
6;208;179
700;715;813
20;201;324
998;668;706
991;756;920
966;723;873
998;737;694
266;125;105
864;826;790
115;243;18
752;703;869
101;347;69
708;740;704
922;798;767
118;221;271
775;934;764
673;965;655
167;228;143
152;167;298
868;910;883
246;331;253
269;334;40
217;126;305
875;874;916
41;82;172
866;676;852
868;951;995
198;33;62
960;985;667
72;120;243
817;939;947
169;54;317
349;42;208
740;865;804
159;237;311
867;843;718
861;765;752
103;105;54
332;235;251
745;997;875
946;657;829
951;978;676
747;697;884
63;195;268
844;771;811
191;343;119
344;83;321
650;830;904
105;127;189
766;978;794
51;155;316
937;734;997
928;961;948
349;136;63
687;655;698
677;945;879
237;153;175
233;137;8
197;281;345
249;349;113
339;92;188
762;775;930
69;236;276
171;37;331
914;687;863
336;21;188
782;850;898
714;981;983
687;729;926
686;930;795
701;866;718
974;949;762
658;972;904
341;188;315
151;143;72
44;123;143
770;818;704
927;964;675
205;223;147
863;908;763
252;44;225
970;969;900
791;901;765
705;687;925
22;11;226
751;927;698
931;774;957
217;30;332
713;888;768
117;303;310
225;30;85
846;690;680
256;227;145
209;67;23
915;651;920
669;727;758
63;228;187
241;232;182
35;277;239
43;62;157
169;254;218
38;217;31
983;761;984
136;243;188
134;277;25
786;952;766
182;68;74
284;276;244
747;974;853
746;956;981
68;313;129
176;262;302
256;307;45
738;774;870
733;932;854
127;102;322
63;261;308
173;54;166
94;73;174
797;917;914
896;969;963
888;874;802
805;885;950
720;687;957
760;942;965
228;204;120
191;246;162
891;709;878
801;812;988
747;995;938
760;688;933
71;145;171
289;323;44
238;285;343
950;959;769
332;282;66
658;768;692
