1D;2D;3D
817;770;847
287;248;231
822;974;916
244;31;130
918;807;816
693;841;798
995;968;996
112;220;61
720;840;879
42;329;65
918;672;696
962;879;927
326;117;190
971;845;860
969;784;656
782;992;884
942;744;944
2;302;135
726;719;861
248;150;5
310;339;330
887;915;947
997;704;948
190;64;339
200;24;227
30;5;261
325;258;139
139;202;24
320;102;132
840;981;697
2;138;35
957;836;826
994;742;984
879;733;845
921;697;669
664;677;713
960;939;696
340;307;307
753;954;672
167;198;15
73;235;249
178;163;46
152;334;344
121;5;238
250;225;12
100;139;122
298;300;256
731;956;730
887;965;820
864;998;776
253;120;274
234;299;220
847;980;950
831;967;668
41;292;90
189;241;316
691;823;747
917;845;737
298;165;235
869;918;860
15;313;51
56;137;22
172;338;175
305;17;171
129;93;324
234;181;348
30;30;138
14;149;248
95;204;94
232;229;68
723;888;683
875;747;671
974;798;753
33;112;40
20;202;37
40;197;347
741;667;964
248;101;317
683;707;668
237;56;71
818;695;824
19;99;211
951;760;798
981;893;877
725;925;898
247;223;9
927;795;708
893;710;770
206;125;116
832;666;970
687;852;851
80;203;102
247;191;98
286;212;246
819;806;666
248;265;332
906;969;972
225;301;272
18;31;17
701;956;914
66;47;273
729;977;773
90;289;347
773;730;938
315;51;109
315;84;297
104;37;329
87;61;80
732;672;773
287;323;194
674;846;900
265;203;310
979;785;875
264;37;275
932;673;652
223;113;345
140;63;188
931;778;954
261;114;219
844;684;722
235;61;2
919;728;950
190;224;271
651;914;792
176;48;150
669;986;857
219;138;68
947;971;720
733;824;992
711;897;927
102;237;242
148;180;79
281;207;211
912;930;714
921;732;804
6;160;87
955;986;990
70;67;232
675;684;875
172;14;22
908;860;770
327;228;44
212;133;139
949;839;700
996;872;889
91;120;300
121;127;281
745;912;924
286;140;143
829;960;948
282;198;172
788;889;872
12;4;215
722;725;845
966;912;933
878;657;940
320;129;342
129;132;226
964;984;977
76;66;61
223;271;136
309;138;9
887;784;736
158;196;144
983;682;984
57;125;123
859;924;747
212;236;96
901;821;998
908;808;932
848;784;717
750;724;663
33;239;152
144;19;258
812;754;793
130;102;280
682;797;706
983;674;942
235;223;160
73;342;114
1;124;319
107;271;276
39;63;228
216;90;102
960;653;911
278;159;79
205;229;299
653;694;913
793;747;852
189;112;182
227;34;204
848;967;788
308;188;77
289;145;300
350;153;311
900;688;742
109;345;292
78;231;39
94;93;265
314;222;187
857;706;758
663;959;737
137;125;113
347;324;29
30;5;321
783;674;933
99;133;31
812;937;723
289;119;342
677;707;890
33;102;4
677;734;867
850;839;757
675;688;953
823;757;964
781;817;762
109;175;305
145;204;320
40;288;127
214;308;204
65;343;194
940;882;836
232;125;117
870;728;701
956;820;777
682;783;691
134;147;53
105;222;230
842;731;700
254;176;302
90;255;244
839;882;767
10;27;316
216;224;260
836;938;980
934;923;925
866;902;805
848;981;687
705;800;865
748;860;877
98;141;287
715;662;820
317;336;296
708;675;851
814;832;813
832;982;881
233;234;337
96;157;188
849;713;674
682;935;765
769;847;763
17;59;223
23;34;187
937;794;899
160;13;1
155;4;80
821;847;955
852;945;752
337;145;29
301;97;211
127;206;254
944;905;998
705;883;757
932;747;673
9;218;9
844;951;839
155;98;98
782;815;998
805;674;974
118;120;117
981;749;922
664;788;796
46;276;293
216;312;110
141;160;100
847;853;876
975;669;887
941;839;852
657;689;731
982;800;894
800;907;782
752;981;797
998;682;788
190;197;150
327;338;144
955;754;838
3;48;122
62;332;334
818;694;974
828;694;928
676;930;673
345;120;261
120;152;345
859;790;940
221;337;241
261;159;267
883;923;712
21;284;343
8;63;78
795;955;744
983;680;827
982;860;787
115;206;230
38;144;161
229;84;263
762;701;795
727;851;944
346;225;221
269;52;27
662;753;926
848;734;698
258;32;2
309;174;10
189;190;215
681;779;791
734;871;930
348;71;51
993;836;800
238;211;222
909;832;864
827;698;668
972;855;839
100;332;139
864;653;757
160;347;333
898;732;702
71;198;165
286;151;96
221;122;53
944;737;908
43;287;195
845;789;796
48;42;55
106;217;278
804;872;880
816;746;768
821;810;932
342;306;73
67;267;137
758;838;694
774;702;978
345;162;93
120;33;178
55;238;55
930;826;719
22;212;260
262;336;284
714;786;870
344;72;321
35;168;47
8;59;77
116;4;311
249;319;263
324;300;141
87;258;308
124;317;342
892;820;653
826;888;999
961;884;933
682;944;873
893;666;723
719;964;954
251;100;58
976;833;844
868;942;692
762;863;944
215;166;325
23;212;91
860;757;751
765;885;770
59;327;345
889;756;819
145;132;111
844;970;783
334;147;95
242;122;182
68;187;245
159;53;347
978;731;653
912;963;708
234;167;111
849;756;747
891;912;761
276;114;17
721;829;958
821;839;976
943;799;693
894;832;729
734;964;894
849;884;815
6;6;241
208;4;83
223;304;230
895;847;955
946;665;872
18;213;232
270;76;18
680;658;691
996;849;855
778;818;939
842;768;733
979;963;835
896;813;904
246;159;146
143;338;83
936;679;783
856;776;919
37;337;323
709;841;651
876;827;658
100;283;318
237;127;95
318;259;305
717;873;790
68;264;161
195;160;296
223;150;71
867;784;704
880;680;766
344;253;167
742;734;693
731;764;653
843;877;856
739;960;821
198;152;11
707;923;671
125;148;252
132;202;166
919;927;810
269;267;138
962;901;748
754;825;835
714;919;990
889;730;817
67;27;101
715;983;957
822;830;754
304;9;27
790;825;879
690;751;856
961;739;708
239;245;320
995;993;858
222;160;207
48;30;292
884;981;686
788;821;965
862;805;782
970;805;908
825;922;734
101;225;141
684;826;934
77;310;12
313;178;266
24;110;329
52;166;112
992;665;902
832;654;936
174;169;344
672;949;660
832;790;898
692;858;712
783;950;918
982;895;758
969;698;958
885;687;798
666;945;991
679;819;982
934;892;822
58;330;99
205;120;27
68;140;284
33;92;228
72;66;39
698;834;896
286;290;157
1;84;348
277;64;317
71;169;312
195;59;154
787;975;776
247;67;83
889;739;785
