1D;2D;3D
909;684;705
873;956;811
949;741;686
197;54;103
973;830;991
734;702;973
700;703;709
993;790;657
739;849;966
729;957;760
934;686;855
282;109;46
671;831;678
257;113;186
347;211;63
113;190;17
33;338;266
674;908;920
113;73;110
751;876;827
715;951;768
754;944;691
867;850;861
141;205;55
73;197;55
191;36;64
863;770;946
201;218;251
83;88;79
910;836;980
122;153;144
238;50;16
700;704;749
664;718;729
746;747;760
275;22;156
349;157;222
213;41;334
696;965;899
3;253;104
224;288;182
651;702;817
697;922;666
219;35;24
255;301;140
235;305;280
1;210;102
249;239;273
137;145;11
8;308;256
71;210;93
911;898;708
310;222;185
126;159;214
54;187;103
195;265;100
662;898;892
151;328;222
990;975;810
850;731;695
35;239;247
246;207;239
958;757;938
289;163;99
894;808;853
895;970;842
718;904;930
770;804;767
848;977;749
660;711;820
283;251;34
769;953;918
96;110;296
944;855;853
172;99;329
888;959;829
102;109;262
337;175;25
189;78;266
292;251;146
872;897;970
910;879;984
212;197;101
681;673;677
346;52;51
992;689;689
256;272;109
67;229;219
348;68;107
801;984;846
658;904;713
806;983;948
657;937;804
839;745;784
894;700;672
336;57;213
794;909;954
755;771;872
264;99;98
112;31;322
