1D;2D;3D;4D
813;643;186;7
15;112;62;773
800;641;301;179
989;46;30;552
330;224;606;213
357;96;377;243
434;25;130;248
412;636;776;859
70;556;774;146
992;637;553;55
972;747;260;987
629;568;42;354
23;156;261;163
748;92;311;473
506;255;134;825
81;833;227;792
748;961;385;298
326;377;138;696
940;806;238;445
739;679;800;437
448;459;582;476
627;443;593;955
393;708;774;601
790;424;956;345
802;92;24;36
153;564;590;515
986;901;511;810
542;775;646;489
538;480;190;321
343;837;425;141
45;256;620;23
607;492;81;568
642;438;896;607
144;718;363;30
56;584;372;311
962;426;14;375
363;780;508;323
717;847;972;214
547;94;888;239
738;448;610;879
55;96;295;898
676;135;890;853
394;167;529;504
527;685;975;97
699;562;819;369
614;559;52;766
782;532;649;792
382;199;522;873
634;356;580;787
588;330;340;920
368;955;405;512
88;822;959;145
456;7;864;904
695;668;696;211
844;817;707;402
674;13;510;889
474;505;547;797
111;359;456;625
124;656;888;603
46;186;781;153
651;769;922;901
963;649;342;470
123;80;835;500
7;753;34;586
218;798;783;115
492;236;264;810
255;559;269;933
340;692;50;252
292;35;670;76
58;994;924;542
512;265;654;896
143;121;615;738
316;883;702;71
100;829;653;295
494;940;462;857
352;339;26;18
591;474;242;25
784;129;354;69
615;450;9;86
923;318;585;834
351;247;569;441
877;406;832;198
908;41;952;942
822;16;539;451
606;516;318;75
869;180;315;424
762;675;657;18
332;146;984;746
530;630;980;95
935;477;638;787
436;362;590;193
808;189;94;737
885;109;761;877
167;781;43;781
167;78;549;119
104;700;788;4
607;442;116;153
637;599;526;965
610;372;127;737
322;117;610;368
