1D;2D;3D;4D
881;113;670;340
656;650;399;944
107;429;877;946
932;104;774;23
173;772;852;505
967;9;861;9
985;543;554;563
320;338;136;799
553;677;734;535
369;17;694;182
586;105;549;734
444;144;201;597
193;737;627;968
330;754;580;656
871;855;515;943
802;193;339;807
59;686;567;251
930;257;417;755
676;135;925;353
393;751;74;272
863;496;943;91
593;165;956;192
324;935;570;968
396;842;544;2
54;113;709;725
712;491;195;801
591;762;687;601
837;707;472;50
160;360;214;331
521;627;773;837
21;768;820;16
870;409;248;952
809;426;850;944
6;849;268;67
450;717;258;414
336;413;993;803
97;665;395;710
675;496;352;875
465;170;563;136
266;836;739;967
406;969;627;166
526;306;50;305
623;714;401;720
597;961;680;499
764;174;139;256
156;878;147;253
786;759;294;289
32;361;448;941
203;47;159;819
548;179;689;157
791;887;340;638
35;332;808;466
381;52;84;724
570;799;146;7
269;751;899;653
392;61;20;62
468;247;140;75
661;819;201;437
7;367;582;81
431;735;74;279
952;467;490;185
677;579;838;885
875;754;468;716
172;819;991;244
492;957;417;445
140;209;339;446
771;492;630;239
302;65;701;219
19;266;101;56
412;830;462;435
828;944;99;543
27;942;783;245
387;542;235;746
115;930;934;294
417;595;688;21
452;743;806;199
944;759;722;187
249;875;575;620
779;400;632;216
654;346;642;469
648;787;950;211
532;912;317;32
6;487;939;236
593;816;357;497
299;106;314;535
72;332;108;321
766;845;487;22
871;235;171;587
167;35;141;365
589;327;455;862
160;908;257;117
400;457;607;677
958;273;687;889
191;577;785;750
459;212;290;756
541;630;942;383
516;329;166;215
871;523;514;639
618;910;675;517
755;941;244;165
