1D;2D;3D;4D
213;442;755;958
860;880;961;880
3;456;638;150
607;731;189;531
250;414;15;302
343;284;67;530
696;777;111;498
256;219;720;775
26;846;587;113
436;364;318;128
276;673;548;10
406;802;121;214
664;125;701;316
495;30;844;572
864;686;737;532
734;766;911;216
303;365;648;935
496;633;626;269
583;803;30;219
978;506;58;111
496;861;590;238
820;139;890;461
295;728;783;453
293;306;200;577
299;900;296;83
182;227;273;11
224;524;457;452
931;109;876;268
794;116;577;138
553;656;311;289
215;743;729;662
325;518;762;920
521;294;408;922
245;300;116;46
828;411;132;355
525;178;628;847
168;760;51;438
353;857;65;974
166;260;674;621
345;368;158;360
512;189;283;259
283;79;636;545
597;354;288;241
419;606;115;951
629;15;451;155
549;214;91;671
493;324;734;779
944;611;854;964
988;476;53;726
337;88;137;639
173;612;126;870
149;461;815;583
441;152;993;974
110;543;297;417
94;826;276;295
241;342;988;609
953;94;542;43
288;887;165;173
766;991;675;784
64;788;18;625
162;215;415;436
731;507;672;697
105;773;571;663
139;592;442;415
853;392;362;940
452;736;702;680
979;477;117;976
259;603;700;121
794;543;768;652
408;623;597;532
754;629;528;591
974;160;628;339
681;238;115;381
958;235;755;811
446;970;579;726
719;250;821;355
240;180;69;363
99;338;326;556
88;571;563;667
720;675;508;631
419;84;296;5
509;898;64;537
601;499;948;754
807;298;730;358
20;641;642;50
231;791;708;434
880;375;8;586
64;174;659;12
447;413;785;687
866;328;290;785
729;707;190;514
576;576;989;298
523;283;512;371
629;837;152;850
511;201;728;189
588;268;734;435
855;482;243;216
101;314;640;583
20;407;999;122
327;577;248;244
193;892;477;541
897;979;944;64
502;768;988;802
770;484;406;929
186;127;92;349
776;395;54;960
248;174;625;328
531;293;46;573
703;364;740;324
420;394;782;490
675;217;673;786
432;428;676;214
594;919;51;991
160;840;100;83
952;246;737;153
14;523;55;446
799;101;743;494
359;999;715;389
48;832;184;637
433;31;50;243
850;504;263;400
519;459;289;172
213;128;931;182
216;297;877;505
342;61;277;540
332;831;941;837
455;545;130;326
482;654;778;333
65;804;695;700
248;603;853;701
947;100;6;276
825;765;247;504
810;370;554;745
181;919;279;54
446;87;452;912
658;967;560;332
819;800;663;845
657;638;17;817
965;149;319;165
604;272;43;903
76;425;122;70
182;7;739;931
951;877;529;854
712;370;649;407
40;705;81;368
750;213;669;898
794;689;698;487
792;291;736;909
161;100;911;886
1;903;346;438
717;812;336;164
935;829;970;393
968;377;891;383
92;373;216;913
893;477;523;998
848;708;741;280
506;295;116;927
745;102;793;957
598;395;7;372
552;725;121;241
900;35;175;242
678;5;722;382
302;843;683;948
890;871;260;617
503;760;839;451
441;298;71;87
794;822;846;868
119;518;14;727
189;121;972;802
933;596;602;196
39;407;520;168
497;688;689;459
572;1;348;539
69;153;694;25
698;985;749;16
71;490;917;389
179;827;629;105
870;998;769;293
450;10;52;775
565;531;401;505
211;496;353;472
765;296;349;753
613;527;297;692
981;919;328;378
21;924;127;27
392;793;302;169
570;564;105;945
304;508;470;687
600;667;976;581
890;755;493;312
34;363;595;85
719;123;590;795
328;964;275;62
174;660;793;995
402;834;389;908
100;812;274;331
356;409;988;897
7;67;212;734
7;447;594;876
711;809;673;522
615;88;173;863
256;287;644;850
558;667;363;895
990;704;245;35
595;305;315;900
946;174;514;816
915;148;656;627
670;497;70;17
210;481;394;964
160;245;740;341
396;59;513;881
396;685;24;751
815;208;193;75
930;404;577;452
902;575;507;68
443;501;166;286
210;168;314;277
704;621;658;689
10;140;971;672
679;949;785;925
206;942;63;185
540;593;916;74
651;303;804;737
402;483;882;886
710;363;638;214
109;142;810;69
949;332;430;750
14;726;144;650
665;378;255;171
372;466;45;994
89;145;365;949
531;165;462;234
952;532;237;632
573;195;74;280
885;88;409;556
416;387;299;686
976;895;50;848
27;13;81;821
420;502;65;930
248;308;794;123
148;371;396;312
430;568;854;397
638;106;334;213
891;387;636;293
457;762;646;791
433;464;101;767
368;12;885;583
916;686;127;841
639;633;423;520
845;635;306;752
202;76;513;846
708;228;358;411
966;34;536;455
546;672;292;952
203;642;946;218
824;388;489;871
268;512;839;32
55;167;156;151
180;66;802;172
585;367;884;377
762;598;5;243
855;862;872;55
670;454;57;932
31;373;128;878
795;229;346;227
463;532;727;977
279;470;444;277
216;690;740;193
717;145;980;88
891;101;638;683
863;625;128;321
127;329;681;780
8;279;84;957
575;804;84;77
42;123;597;522
183;18;81;623
912;954;457;21
381;97;458;247
534;78;201;151
404;929;866;425
551;303;188;283
849;562;711;603
782;771;670;409
318;362;482;791
53;965;659;911
823;550;398;281
163;914;579;964
455;456;525;705
587;378;81;185
531;107;257;150
291;500;617;205
219;878;842;422
261;938;333;511
192;951;626;955
191;647;430;693
609;954;190;969
719;583;99;952
115;524;161;695
674;816;749;804
846;92;348;418
616;75;516;822
71;870;238;85
510;263;473;454
122;102;746;778
653;78;510;554
647;763;613;801
299;75;538;495
779;107;618;790
291;748;558;131
60;762;357;158
574;825;568;875
709;575;136;141
934;725;690;52
650;909;801;297
326;798;471;843
451;827;282;263
660;993;984;362
27;825;55;353
103;39;50;929
478;925;906;121
518;928;394;520
3;532;243;347
226;801;171;323
301;56;47;206
132;429;147;35
563;442;623;495
459;947;216;549
833;865;327;671
758;537;619;722
48;993;420;93
585;952;5;575
883;896;452;368
144;26;723;241
13;788;568;999
850;571;534;965
332;533;433;815
612;158;617;944
500;873;309;429
20;253;518;403
802;534;794;491
27;628;934;651
918;682;454;695
477;911;396;309
771;776;248;331
815;823;209;584
928;459;464;811
748;994;60;976
15;315;700;861
460;336;568;829
517;269;86;174
241;546;74;862
760;501;936;937
955;742;246;525
343;49;341;712
8;6;482;34
226;438;235;930
791;385;763;107
923;186;532;474
216;115;941;163
847;476;720;764
345;584;16;794
771;462;131;4
451;739;206;853
834;647;199;152
414;462;129;315
253;549;253;735
479;334;748;349
887;251;520;632
123;683;830;552
933;114;67;203
307;507;966;732
342;552;378;657
282;366;868;16
325;665;987;937
136;929;172;199
278;981;477;108
33;71;430;2
179;173;736;688
604;994;551;435
679;568;267;896
872;892;635;969
816;149;627;753
137;491;797;53
999;791;757;848
957;737;679;426
545;524;861;577
47;756;234;300
12;494;297;282
957;280;163;299
17;763;961;519
79;732;112;67
267;558;789;488
244;433;488;411
627;31;536;756
407;817;281;643
283;767;913;882
131;480;789;71
128;156;446;706
48;922;341;373
912;822;868;464
571;576;750;443
506;117;57;757
236;658;608;164
435;173;624;752
874;764;852;894
652;950;889;154
302;882;985;4
725;796;966;76
339;803;206;458
882;632;531;631
399;303;928;599
496;723;463;442
420;230;782;402
359;689;653;25
219;127;481;756
639;594;663;881
468;939;247;148
537;650;185;741
229;983;211;902
475;868;206;446
694;39;795;854
523;259;967;543
613;643;570;155
148;859;754;629
116;4;284;468
715;132;395;8
146;8;703;815
205;537;866;680
72;582;95;18
426;226;641;28
6;989;851;59
312;967;853;444
917;560;645;693
471;841;667;109
333;837;575;551
198;920;541;915
572;311;92;168
174;420;834;854
770;126;461;420
733;241;486;251
606;933;515;973
370;245;999;829
996;609;297;509
725;448;39;147
62;184;157;294
284;284;120;999
311;469;662;797
484;115;346;420
226;719;938;620
250;569;839;184
999;387;503;553
606;107;540;81
329;834;463;450
36;448;28;694
722;882;260;782
109;578;238;288
847;281;686;54
831;730;381;587
358;572;942;604
865;410;299;71
330;655;845;710
619;287;604;634
501;818;94;897
131;500;422;884
845;872;729;902
873;68;949;973
779;211;198;688
141;226;259;66
18;722;420;192
335;986;395;788
518;620;420;104
751;552;931;274
978;512;294;39
211;807;641;612
984;377;135;490
16;683;586;9
142;30;145;390
352;73;807;893
372;453;920;138
368;402;330;931
766;887;64;412
774;328;197;132
962;845;979;833
646;864;265;985
750;1;894;54
156;864;908;255
274;435;98;365
651;673;73;60
123;488;244;738
841;203;688;602
239;335;648;474
46;429;138;3
678;475;166;518
791;874;433;517
186;297;35;976
742;938;875;196
33;948;359;409
703;201;3;48
189;565;545;830
338;375;34;56
