1D;2D
291;239
188;239
192;182
888;823
215;178
304;256
209;333
221;323
93;262
189;109
77;210
340;170
105;244
261;326
68;87
600;856
343;271
741;635
124;171
108;332
203;157
243;217
202;266
245;228
325;230
216;188
326;91
267;85
239;274
944;693
150;51
837;930
137;231
116;254
58;281
839;572
335;199
194;198
816;874
245;77
919;577
310;293
254;124
224;345
576;704
917;869
104;219
256;169
348;259
722;768
826;598
136;319
75;350
119;155
306;96
180;157
154;231
201;248
159;83
66;275
316;277
779;802
171;220
305;70
760;730
111;343
80;84
129;322
254;151
228;319
101;235
162;205
680;703
216;299
109;69
892;831
198;216
102;253
195;58
233;179
57;159
147;301
339;73
254;167
292;166
186;239
302;225
223;144
213;300
751;789
103;111
72;70
715;804
138;63
102;323
877;636
203;309
141;80
126;278
832;884
240;156
700;935
345;141
186;101
148;273
302;107
222;58
173;185
223;314
735;889
603;888
732;565
241;119
336;77
289;156
176;109
231;82
291;275
192;195
268;82
806;622
745;733
291;263
342;55
169;313
811;844
229;51
203;90
901;809
775;659
341;327
100;153
258;316
343;107
257;279
76;128
629;696
128;78
92;157
234;271
244;113
265;56
671;726
52;88
159;55
106;234
109;199
88;282
96;130
291;160
187;301
344;118
69;291
272;69
80;153
935;724
143;194
228;130
262;168
87;287
66;243
100;100
204;219
285;52
786;605
53;245
72;174
178;316
339;170
51;206
174;288
292;313
71;271
339;298
106;276
241;337
138;255
185;95
878;609
264;162
155;303
229;262
226;226
809;928
790;681
171;191
706;829
148;79
150;181
916;882
225;186
320;155
152;60
155;236
278;150
895;599
188;241
120;218
918;878
308;94
72;302
238;161
305;81
132;130
671;880
327;136
70;186
309;313
946;898
338;105
134;140
154;119
123;143
230;271
830;707
151;109
563;908
270;298
779;865
321;299
55;55
51;208
165;92
116;183
238;127
300;217
332;177
201;206
348;179
112;99
727;778
211;115
752;627
252;129
313;117
261;108
71;293
75;148
557;887
264;276
101;207
601;857
161;345
302;214
123;168
640;694
133;161
217;317
188;315
84;223
91;231
325;70
284;65
255;292
339;114
269;301
326;283
155;99
284;275
204;154
106;345
254;323
125;221
333;310
302;283
75;185
202;144
279;322
232;176
263;235
292;284
165;61
82;117
776;681
245;151
714;579
164;217
729;858
324;326
215;94
650;779
289;59
232;167
283;210
167;59
325;214
726;836
300;121
348;338
220;88
697;690
142;92
95;196
259;143
342;95
849;933
570;769
195;165
132;254
98;120
332;255
556;691
891;847
196;330
635;883
593;940
79;220
883;710
593;777
236;263
150;88
344;286
114;199
158;169
175;147
183;214
60;109
881;890
585;768
744;693
337;184
230;308
85;117
129;119
57;263
204;276
273;61
791;565
146;112
187;342
797;569
67;182
323;151
129;175
758;727
267;261
174;160
612;658
196;248
287;56
60;66
336;318
217;271
172;202
