1D;2D
770;820
96;218
79;92
207;158
120;309
654;932
29;14
190;256
759;999
154;205
20;116
804;974
64;309
193;226
721;908
260;137
859;951
724;786
677;729
261;202
893;768
734;933
766;753
261;19
14;114
299;326
689;652
283;324
935;760
794;867
292;181
669;935
871;873
310;268
880;730
9;219
122;157
810;803
12;87
841;760
940;818
886;836
753;783
54;120
747;798
111;268
327;324
101;27
732;702
886;894
848;983
228;198
345;6
248;318
75;289
222;49
691;696
854;928
980;672
7;154
783;870
270;221
3;198
234;299
98;110
687;771
114;285
287;58
843;929
995;738
56;156
235;273
77;73
75;238
22;40
662;789
966;830
12;301
937;814
834;660
725;879
41;95
751;978
65;218
303;257
782;685
904;779
927;781
864;718
992;870
291;169
298;326
225;166
984;962
738;763
20;71
865;806
769;812
843;995
745;712
