1D;2D;3D
157;301;145
332;66;259
273;128;93
579;893;748
249;346;314
813;736;579
322;212;268
225;107;55
323;84;161
231;162;236
154;341;73
730;644;654
154;92;134
600;709;679
303;63;167
63;277;294
200;219;221
606;620;614
305;130;242
313;264;97
105;237;259
657;759;769
76;285;299
282;221;227
212;292;299
918;711;763
112;173;335
182;323;140
150;290;72
609;771;781
319;97;312
894;890;777
113;148;187
117;159;271
125;336;202
623;939;652
235;226;348
97;78;116
274;248;252
78;254;52
131;269;70
93;313;325
879;659;644
291;111;101
69;65;238
295;64;231
244;270;105
139;177;296
653;743;749
931;582;896
59;164;83
300;93;252
100;242;104
86;244;96
575;569;845
101;237;273
97;210;312
153;275;98
807;719;593
583;801;886
95;50;220
290;237;237
213;243;164
160;253;249
550;611;836
201;292;220
734;771;930
151;155;175
217;303;197
302;203;307
845;698;852
853;830;667
684;617;684
155;104;224
145;233;240
305;202;175
79;141;117
905;678;763
201;205;343
187;138;196
740;932;941
346;230;255
340;282;194
53;342;213
751;896;572
311;323;203
722;875;640
838;733;899
131;113;130
807;724;732
254;263;179
240;212;324
54;111;222
322;189;225
849;851;915
677;601;809
913;742;739
333;338;289
625;588;859
172;62;337
135;303;121
304;331;214
339;304;139
265;72;173
280;63;188
202;315;234
310;153;200
640;939;879
770;927;841
174;183;309
251;189;59
319;220;114
310;325;327
268;216;318
815;646;823
210;178;337
105;188;168
644;761;585
268;296;86
204;171;260
96;219;294
606;660;795
243;123;298
283;339;243
869;795;703
203;147;96
196;133;319
605;860;554
550;716;603
89;134;145
84;337;309
58;115;181
335;219;155
178;214;349
790;786;918
192;91;300
51;189;337
121;339;183
308;285;68
220;179;295
172;334;223
283;115;95
274;58;297
821;743;835
136;112;85
687;578;561
292;156;186
714;683;593
336;237;51
163;71;350
291;217;155
252;68;239
223;172;90
737;655;773
281;325;169
728;811;680
145;194;112
278;135;116
350;69;187
152;291;159
167;118;209
313;171;165
100;62;150
329;203;65
260;88;145
227;55;192
205;134;265
235;302;202
308;225;241
162;195;319
776;675;844
208;65;187
51;176;63
186;344;87
338;281;123
70;241;252
665;553;903
213;158;328
72;136;303
920;556;673
210;97;97
167;328;149
91;211;339
309;126;103
113;308;298
228;196;322
219;331;135
171;108;142
78;278;278
225;250;199
208;79;76
220;219;78
277;136;194
198;273;135
102;145;105
277;75;174
319;329;219
258;95;183
299;109;251
197;54;137
68;169;336
164;180;58
254;93;217
117;79;149
550;834;819
264;72;251
857;872;872
279;290;73
288;205;266
905;860;844
52;180;190
662;588;731
121;69;88
77;150;59
208;127;225
889;559;891
879;906;568
264;122;333
316;75;129
870;645;569
762;799;860
148;117;107
337;123;295
219;108;238
347;255;194
229;157;272
928;615;638
251;274;192
113;98;194
345;214;219
129;188;259
77;64;104
305;92;243
665;869;652
680;751;684
208;89;279
70;132;322
98;270;234
106;237;266
132;348;86
183;99;242
78;80;233
74;184;230
328;275;55
254;192;313
59;298;189
849;638;594
350;159;160
201;119;317
218;111;123
739;639;949
240;105;340
112;116;294
265;276;206
293;249;55
325;141;320
143;69;214
123;52;293
93;71;293
286;60;294
741;743;750
137;321;154
212;256;137
212;186;230
560;584;673
162;301;137
91;54;135
323;62;116
591;657;751
107;320;251
71;54;70
239;52;245
177;83;107
249;178;259
314;322;285
83;223;142
343;73;84
142;318;126
281;227;183
327;89;349
863;626;907
872;635;945
143;106;261
311;78;231
702;586;627
64;167;115
228;170;126
215;96;119
320;319;336
304;154;169
302;254;57
119;89;298
119;226;185
847;832;630
592;777;950
189;76;191
839;872;909
337;75;104
312;332;337
173;323;60
53;347;274
943;915;920
280;311;115
203;134;99
116;117;81
588;873;930
141;159;349
97;310;65
101;70;252
338;218;154
818;758;938
210;327;203
121;141;150
283;259;318
67;141;329
169;144;94
658;663;659
305;324;52
220;51;128
135;141;247
222;290;251
337;178;191
870;947;605
277;275;297
316;299;200
257;150;258
822;698;900
340;185;249
564;869;757
159;162;203
147;203;313
271;290;286
575;615;694
308;109;318
148;78;295
239;117;115
84;64;60
179;176;273
80;165;280
207;316;114
303;233;267
92;310;86
296;277;177
251;270;258
618;843;740
55;212;252
51;193;325
174;184;324
51;76;286
251;293;140
309;323;162
114;104;213
171;72;338
60;306;84
261;54;322
344;283;336
95;253;300
692;760;737
243;116;172
300;75;312
63;233;324
341;166;111
332;119;94
272;292;102
144;174;136
175;245;307
80;343;249
292;127;176
626;810;879
745;707;590
61;279;247
946;756;611
81;243;323
202;121;115
581;936;556
830;917;724
90;247;285
318;120;247
225;332;53
216;342;120
295;278;183
317;96;73
675;845;854
330;319;192
138;308;119
101;284;257
117;186;129
243;344;114
845;603;592
178;87;259
172;56;247
316;183;130
164;214;122
617;588;586
99;224;170
586;684;844
926;589;890
152;88;266
238;289;271
818;716;942
268;219;270
325;281;92
65;264;284
150;85;116
239;191;122
133;144;57
332;84;234
934;638;557
339;112;242
165;343;256
291;226;320
277;134;158
207;263;193
72;95;140
95;308;59
623;567;919
637;551;555
122;285;188
665;653;884
105;341;200
80;328;119
234;56;233
318;64;74
80;120;143
176;112;51
183;204;65
122;319;165
322;150;289
164;221;79
836;625;899
120;263;223
907;651;823
279;123;308
63;340;163
678;710;745
110;250;102
346;84;265
77;113;325
91;277;322
260;242;195
148;312;70
160;111;286
328;227;209
80;347;65
65;117;159
116;320;227
595;685;835
135;145;342
853;711;562
117;144;319
167;277;99
734;578;638
611;699;901
310;78;290
57;60;225
107;326;79
814;707;774
300;158;79
132;221;256
105;251;241
936;914;764
782;684;806
285;68;209
80;343;216
286;111;75
191;82;254
131;177;108
643;834;673
292;127;77
116;70;309
52;303;281
332;204;113
183;123;264
249;307;166
188;178;185
139;262;77
926;947;877
274;119;88
736;781;660
292;340;72
832;789;781
99;93;340
585;613;796
950;728;913
79;306;157
106;106;69
71;135;170
325;301;255
288;93;277
100;58;107
684;767;662
174;136;181
53;308;228
567;877;704
306;289;300
760;912;606
80;246;54
65;274;177
294;290;297
282;139;277
232;318;78
197;201;338
147;54;321
154;137;281
144;238;279
156;97;326
183;252;114
90;179;323
261;136;331
591;576;916
330;159;99
55;161;291
886;745;882
114;68;233
89;51;176
187;246;55
249;176;65
128;82;175
175;148;192
159;217;277
112;217;106
718;891;812
780;680;855
282;162;293
338;126;178
326;127;182
236;86;139
88;68;247
177;164;65
179;345;161
622;633;852
130;119;188
295;172;52
248;277;121
163;195;70
702;717;723
287;334;350
76;238;329
815;733;839
239;215;69
609;729;656
190;249;218
313;294;321
264;125;304
63;243;128
130;135;218
792;735;642
776;577;575
149;257;174
609;756;567
140;261;247
241;342;271
699;884;737
99;290;80
302;169;341
335;116;127
136;120;224
163;201;346
151;165;158
140;272;274
169;241;99
333;223;329
159;53;54
337;271;184
266;300;274
780;751;764
216;268;271
150;264;210
96;273;173
303;342;175
116;145;250
317;101;146
189;112;219
149;315;227
197;224;225
168;50;258
343;72;82
209;322;265
80;72;154
104;151;311
127;342;71
873;838;608
294;324;130
164;89;185
93;192;96
711;939;661
716;692;766
92;181;221
54;270;264
112;72;141
179;123;192
924;734;855
336;306;340
137;303;262
232;64;145
191;197;284
256;187;211
327;250;246
74;151;157
166;122;125
242;259;52
277;224;91
81;158;98
341;64;274
178;108;249
95;135;252
329;291;272
198;340;266
197;306;329
174;112;246
788;942;557
120;176;85
75;150;91
127;62;255
85;278;229
63;243;227
269;106;156
867;559;786
275;181;187
334;106;135
178;345;298
226;283;315
150;309;129
68;315;77
162;305;345
182;330;92
62;248;55
154;50;159
314;172;167
107;312;211
82;79;345
175;224;211
331;181;205
331;270;247
745;870;798
309;236;147
348;319;168
272;315;126
270;315;232
602;599;800
280;105;144
92;258;75
151;141;287
348;328;81
257;248;313
841;615;653
108;301;125
120;210;184
63;52;335
110;212;249
292;164;202
320;106;307
337;337;178
113;276;313
218;105;87
164;134;332
305;132;117
224;169;272
202;175;139
82;227;327
267;226;350
69;240;339
154;102;296
186;237;177
280;284;118
188;274;262
950;828;813
216;289;169
228;236;99
64;73;86
191;168;242
207;175;182
219;307;270
129;71;82
72;111;325
219;154;338
808;881;835
230;306;226
94;293;111
74;205;256
226;301;292
109;298;329
599;625;879
813;754;798
57;229;246
691;845;621
139;216;323
145;229;52
828;734;841
131;326;336
152;350;345
142;184;218
772;817;774
175;239;176
159;350;153
99;275;294
120;338;106
93;152;331
100;195;275
57;337;71
113;99;332
203;187;308
154;274;299
336;325;61
59;265;191
344;161;321
748;636;642
125;108;201
298;305;255
198;204;261
86;105;120
251;164;131
280;161;295
261;120;285
215;50;242
298;96;166
163;280;50
141;158;265
327;306;271
738;911;890
314;205;157
87;177;83
190;255;342
94;141;303
79;189;195
259;177;200
303;164;335
665;674;762
932;697;643
908;557;563
97;212;120
182;275;115
75;56;298
268;308;286
255;348;96
228;76;262
120;315;74
87;288;202
197;334;79
795;655;639
321;282;246
245;174;327
223;246;81
342;68;125
102;349;226
110;326;79
281;337;277
277;66;300
172;273;251
135;268;285
172;98;274
160;53;285
282;297;126
141;133;204
561;708;918
185;327;255
177;109;180
255;114;210
52;259;106
113;314;200
555;796;749
291;276;101
733;622;837
296;291;66
734;636;619
220;154;276
641;785;570
72;51;219
334;328;173
816;659;908
718;902;779
84;188;255
142;70;340
116;334;100
349;148;95
690;871;639
285;252;207
305;296;111
807;600;689
831;622;704
570;626;672
245;161;249
262;51;251
122;160;236
64;185;215
110;69;184
273;333;342
340;65;332
589;746;664
637;603;783
52;86;67
187;310;141
941;887;767
222;115;252
253;185;236
193;259;63
129;319;99
842;924;699
221;64;343
203;134;107
276;117;215
82;280;308
279;284;150
166;82;173
72;112;145
282;97;64
139;194;242
253;198;199
114;99;193
111;281;227
155;190;245
112;248;322
124;239;218
706;922;718
114;199;87
251;125;166
327;111;115
86;205;99
159;210;255
254;318;165
169;159;252
93;163;312
218;150;90
633;798;618
103;104;69
739;574;695
597;664;619
875;932;608
344;273;350
183;135;308
66;290;235
140;269;338
646;630;793
310;63;287
672;641;820
859;891;631
243;340;159
783;942;576
127;275;279
724;653;669
257;170;235
289;95;267
614;945;904
147;79;152
