1D;2D;3D
218;250;236
228;132;260
199;238;174
255;210;104
311;155;138
186;156;346
209;197;93
337;340;156
242;111;289
110;217;302
897;898;798
132;131;203
207;308;294
270;326;349
55;298;198
903;662;934
251;222;189
693;616;632
709;557;743
698;793;582
933;790;609
205;129;283
298;259;185
99;316;279
200;330;202
311;291;319
306;332;209
157;56;103
243;305;291
319;73;342
312;195;103
734;554;608
216;167;339
336;179;196
321;349;339
249;289;325
174;145;346
608;653;571
196;305;230
54;303;71
106;112;271
864;743;890
130;70;294
148;214;55
274;82;96
271;211;61
632;880;706
298;281;165
804;846;621
639;950;718
271;165;50
710;908;847
312;287;62
148;239;154
598;571;747
130;234;194
310;236;61
68;164;100
296;224;288
842;846;788
326;173;127
94;257;272
268;263;337
224;51;174
268;79;209
608;903;602
249;240;254
727;796;653
333;198;217
162;124;170
218;335;82
81;283;306
264;335;335
167;177;90
279;152;316
85;295;324
120;258;229
91;57;106
229;325;98
149;236;339
136;129;275
147;112;329
158;111;161
203;179;201
152;71;230
599;868;688
338;91;75
131;86;153
684;730;924
197;137;211
195;159;256
132;236;127
309;255;124
170;146;260
289;194;249
106;155;56
217;197;55
308;280;243
281;330;275
323;292;170
334;260;277
107;310;237
167;317;99
223;104;144
73;333;137
187;97;129
316;316;143
320;68;290
169;192;271
565;783;756
109;149;317
285;127;313
317;257;278
767;645;805
251;227;216
119;284;306
248;139;149
346;313;164
255;232;298
803;576;673
874;945;671
280;334;225
109;110;349
72;339;98
208;94;160
314;119;156
92;200;119
176;349;341
794;731;924
176;109;350
166;280;91
217;290;296
78;213;338
228;346;257
179;350;248
129;133;156
203;298;109
296;282;118
781;687;912
170;119;95
291;105;111
294;346;283
242;238;249
868;765;894
226;85;199
248;121;109
136;226;348
586;806;750
617;846;868
240;302;126
328;266;323
235;129;69
217;320;154
826;728;553
186;183;276
290;248;149
340;144;187
205;218;259
225;157;287
267;84;197
257;226;291
208;243;320
116;184;319
164;201;316
257;111;275
67;164;146
103;336;271
339;90;260
131;267;270
69;256;195
256;287;156
81;198;298
656;780;599
144;144;142
63;337;261
182;278;252
280;319;129
58;212;187
760;794;686
313;311;193
269;209;117
232;300;148
302;260;313
138;229;218
94;256;214
136;69;172
85;235;264
763;766;556
250;244;130
758;616;750
326;312;227
100;61;125
199;114;105
288;225;71
768;721;650
81;214;103
61;350;259
728;557;947
262;54;108
673;551;844
681;683;747
236;129;293
109;306;110
