1D;2D;3D
258;52;180
332;274;264
824;603;605
248;64;350
309;316;168
240;327;196
700;892;790
153;92;317
170;152;174
309;265;83
132;127;111
244;254;274
696;924;573
239;289;345
644;558;807
254;207;180
141;314;174
689;780;654
309;81;271
316;99;238
297;100;277
185;239;311
179;315;310
157;261;266
247;187;137
307;301;214
247;84;170
335;287;234
725;565;826
321;126;66
306;60;112
884;625;651
158;59;286
114;308;265
229;111;193
268;270;283
191;172;257
341;80;217
210;186;170
196;123;236
288;50;247
104;116;213
51;226;304
854;683;754
766;737;743
867;649;921
348;276;268
205;273;340
53;338;315
58;65;244
261;318;169
123;55;318
174;250;182
291;283;65
641;946;821
75;268;188
872;690;780
156;272;155
624;849;752
278;215;85
88;300;255
297;233;99
328;124;325
311;208;148
779;897;756
238;100;133
290;247;63
215;128;265
724;727;763
216;68;182
109;346;330
770;733;762
93;264;231
849;624;894
204;88;71
251;222;273
347;347;151
150;84;95
185;327;287
202;189;108
189;154;119
107;235;256
193;177;166
753;690;611
68;69;231
314;220;349
137;177;77
241;261;97
86;321;77
284;283;120
78;302;107
231;272;109
248;138;114
83;52;128
872;588;733
342;196;145
147;161;107
125;163;164
747;675;753
50;83;293
