1D;2D;3D;4D
252;16;65;26
264;100;26;16
301;61;70;69
306;59;74;37
339;8;84;12
290;81;60;99
263;26;47;73
302;68;7;59
308;14;54;4
260;19;69;2
334;88;90;52
319;19;87;21
290;99;45;39
268;41;1;43
291;29;9;60
294;92;22;49
329;15;86;26
308;83;21;78
344;76;86;43
349;80;91;5
315;55;92;31
254;60;89;46
303;22;47;41
312;60;55;67
333;58;85;3
279;34;71;40
326;20;66;1
256;5;71;15
341;5;26;40
321;60;77;99
320;33;12;74
252;54;40;24
264;55;96;77
350;46;47;26
317;62;9;9
350;90;11;41
319;52;44;66
346;59;34;73
344;3;97;32
298;20;63;72
289;49;79;54
341;37;89;10
285;11;40;57
289;11;50;29
266;13;55;85
259;10;21;25
309;97;95;36
313;11;28;60
283;63;13;22
306;80;30;77
344;48;77;25
322;78;32;1
312;79;4;62
268;5;71;24
271;26;83;74
307;96;33;2
320;95;21;59
340;40;96;47
255;56;60;55
303;100;29;11
280;11;78;79
262;5;82;62
294;38;75;63
335;97;5;57
261;6;59;83
333;70;55;81
342;72;53;92
274;81;58;51
269;68;81;73
282;23;12;7
326;62;58;1
308;11;22;44
284;3;12;28
283;54;76;10
345;84;83;90
302;100;54;40
255;96;96;49
297;10;74;95
330;47;49;11
280;39;75;66
345;56;53;71
256;82;3;27
264;28;14;70
345;10;36;37
332;45;1;70
326;17;86;90
345;51;65;91
300;48;6;83
329;45;52;94
311;33;12;94
343;17;2;80
285;39;8;94
282;24;46;24
286;39;22;50
266;94;18;26
281;62;11;5
347;100;2;34
346;1;2;72
326;69;86;74
260;88;21;53
256;13;12;74
252;48;60;68
338;20;20;99
275;85;15;100
250;100;24;59
279;49;47;89
259;2;68;55
315;26;44;7
299;47;41;67
349;66;43;12
259;20;35;8
262;54;12;54
276;60;30;35
327;12;16;48
295;11;52;71
303;98;67;37
254;42;7;57
284;61;81;82
334;80;96;1
308;93;11;15
282;68;91;64
255;26;59;43
347;16;33;94
305;32;42;92
325;69;28;70
284;71;99;12
312;61;45;86
278;74;5;10
301;29;6;32
271;58;58;27
267;24;31;90
348;33;14;53
265;81;33;89
254;79;100;48
305;19;83;72
274;24;15;48
