1D;2D;3D
163;170;400
126;261;381
197;223;374
398;180;300
165;200;151
237;157;332
152;184;213
289;104;336
346;340;163
178;119;280
375;138;254
208;123;150
127;247;317
230;289;160
139;356;201
312;216;154
279;320;268
177;348;391
270;309;286
257;233;249
378;384;213
323;110;171
325;373;136
301;120;131
263;386;389
295;371;393
382;168;249
309;324;314
116;117;123
336;313;345
125;118;277
374;161;287
366;187;350
201;177;175
156;306;281
285;330;369
151;149;206
174;268;354
374;287;242
117;150;163
301;236;188
226;220;391
302;275;194
289;100;190
349;338;285
384;326;385
145;189;152
134;252;134
114;382;372
254;354;149
151;298;240
270;298;344
366;138;359
252;307;387
225;221;184
240;137;278
254;234;280
237;348;355
149;334;177
225;223;147
388;361;108
297;393;199
281;350;315
313;121;134
127;361;236
323;271;395
390;160;137
314;280;307
261;362;392
140;184;173
349;276;365
252;109;330
160;145;362
110;320;148
106;232;333
280;219;341
215;122;374
106;261;187
344;349;116
377;342;175
202;248;250
219;140;217
378;372;388
175;393;183
341;166;323
237;323;310
238;386;194
313;393;364
351;398;144
109;107;381
352;214;399
385;264;384
108;328;204
183;276;251
381;294;288
212;179;194
282;399;316
187;108;370
252;139;369
377;174;252
