1D;2D;3D
169;357;230
225;302;183
380;119;120
316;207;305
358;176;166
235;346;145
205;111;284
172;133;171
254;350;374
146;198;179
331;287;191
156;329;390
305;377;237
371;267;218
283;188;120
157;242;195
250;354;242
125;327;383
194;153;181
273;278;147
399;213;235
348;189;104
196;294;165
397;342;121
376;384;145
112;194;115
311;345;249
350;343;350
261;226;133
240;251;182
171;216;139
189;197;323
123;143;156
268;212;352
120;236;211
146;137;142
203;211;368
294;291;304
162;177;244
192;246;399
397;291;221
290;299;140
231;316;306
272;194;242
379;323;188
298;186;362
380;330;387
250;288;248
279;220;240
167;203;323
218;335;228
121;298;361
390;161;253
108;219;228
266;211;172
333;231;358
350;151;393
143;140;291
330;379;329
345;381;230
267;215;323
390;302;353
307;214;255
166;261;121
122;243;375
375;313;259
197;111;229
268;107;255
383;359;134
139;324;125
140;348;307
222;322;185
385;337;114
351;297;332
349;228;371
352;339;196
199;324;287
116;323;297
342;230;233
316;316;302
182;174;169
191;322;226
116;129;114
249;274;360
234;156;180
338;223;359
277;396;391
292;316;289
297;168;277
360;267;314
359;342;243
139;113;222
142;137;165
130;241;242
339;179;274
268;239;257
321;379;252
306;126;197
351;133;185
127;158;182
374;369;293
141;161;364
386;213;138
100;255;346
173;201;113
331;162;237
271;343;261
165;109;344
394;198;278
321;304;335
399;273;265
243;204;172
228;148;389
373;236;215
329;393;279
398;149;295
122;370;282
122;371;338
245;244;234
358;250;311
194;229;286
141;211;131
344;218;277
373;324;347
214;393;119
345;367;379
148;372;171
371;155;269
143;303;383
255;288;263
278;254;104
112;225;270
395;257;359
304;136;355
320;142;387
310;151;264
352;252;326
124;242;274
385;377;201
101;241;249
224;317;334
130;327;120
263;113;394
362;232;257
367;362;320
206;372;128
192;297;244
195;227;311
261;135;359
290;158;391
252;394;294
337;123;214
262;115;146
159;248;203
338;371;231
251;349;396
112;333;384
191;103;182
114;378;344
173;367;375
134;326;373
251;203;336
345;218;123
367;349;220
344;326;270
279;123;272
159;192;184
307;354;241
112;211;290
179;111;144
241;166;133
393;118;400
164;271;313
137;395;305
218;367;263
224;377;399
370;173;382
331;165;285
262;230;375
159;125;157
393;230;235
230;265;311
232;253;196
378;269;277
127;152;271
175;296;105
