1D;2D
133;156
576;641
216;107
994;835
92;118
830;210
846;491
909;462
569;243
736;248
715;273
491;208
512;428
698;902
723;120
959;136
339;846
734;428
384;495
824;224
506;750
519;202
242;331
387;488
117;892
179;292
643;82
569;690
730;762
353;419
626;950
842;908
359;846
98;817
253;356
412;949
952;203
529;504
872;896
818;321
638;982
923;87
555;359
46;923
400;995
749;389
675;286
576;78
492;886
585;885
196;610
769;76
678;580
346;883
376;184
658;982
321;316
608;167
987;825
210;411
343;56
111;451
492;868
715;363
624;92
311;774
214;710
496;470
883;705
184;790
489;99
52;427
511;951
980;808
744;268
559;199
522;597
326;41
817;729
771;224
735;16
177;955
352;589
123;519
366;652
573;136
622;458
872;802
960;339
50;784
162;536
422;441
145;439
661;306
911;465
136;690
915;49
852;786
192;905
962;683
750;703
985;446
930;789
549;367
694;342
516;886
373;578
52;919
217;564
804;806
445;929
933;88
987;470
999;418
947;543
836;282
214;303
23;810
996;354
723;448
378;710
482;798
393;689
210;481
892;438
327;610
30;796
202;159
81;132
964;830
466;370
331;678
480;780
865;864
20;842
174;723
581;773
326;439
461;170
479;830
806;840
286;685
721;847
341;211
633;820
704;125
561;415
339;173
267;749
113;929
456;811
539;731
508;840
239;855
408;968
676;47
715;671
163;537
693;981
591;899
319;803
505;99
470;670
408;604
673;138
78;141
811;317
336;71
918;823
97;147
684;646
148;822
754;336
782;285
83;608
583;630
411;934
915;455
633;53
234;140
601;705
113;153
112;967
153;99
568;965
41;662
346;412
879;421
936;49
434;946
792;592
85;552
371;963
518;575
788;477
771;724
446;901
845;226
622;672
7;356
3;397
762;515
667;274
310;536
87;576
222;877
584;196
32;169
236;375
814;737
857;65
802;19
745;966
401;479
658;614
792;8
677;977
103;187
538;810
36;417
593;679
533;268
599;70
232;488
969;874
59;646
285;938
533;13
380;456
42;129
350;740
517;702
980;128
591;582
795;999
113;366
702;314
659;137
292;67
611;859
442;856
331;203
702;806
849;317
591;144
231;994
634;904
275;676
115;457
794;884
973;199
640;681
660;315
594;389
402;32
757;280
726;29
332;46
361;702
493;604
263;254
456;924
953;235
82;79
418;195
37;705
139;915
971;717
633;2
2;68
507;734
77;369
24;885
178;401
40;88
157;943
955;415
712;989
292;250
281;565
738;789
640;464
834;85
923;348
765;606
979;559
804;452
754;861
706;148
14;672
806;592
897;685
619;790
147;158
394;297
285;196
897;847
548;29
441;594
726;615
551;596
223;564
573;626
218;114
565;962
918;680
266;106
135;290
787;737
593;784
880;366
646;244
877;211
88;752
791;448
135;622
13;577
582;197
910;680
724;958
925;574
692;914
364;122
148;896
740;827
454;798
689;705
774;173
272;894
9;137
87;648
278;402
97;825
399;410
575;791
746;584
440;626
518;704
212;426
643;406
297;164
196;528
359;848
355;873
630;248
449;518
45;724
356;571
857;816
256;270
19;766
301;943
547;992
441;846
793;880
452;548
177;424
334;277
25;14
655;727
370;10
624;622
546;573
288;580
891;137
639;114
795;61
871;543
411;338
596;227
723;437
185;943
76;238
668;121
277;116
60;817
767;136
236;348
517;370
138;278
830;826
891;454
415;620
436;57
610;34
734;692
510;322
289;797
327;335
137;19
388;54
492;168
3;205
838;164
63;392
663;880
502;347
500;244
119;161
482;647
98;237
872;103
492;785
641;126
657;48
832;662
406;549
624;655
720;384
488;633
270;329
214;507
771;588
665;508
766;119
519;806
855;840
953;147
168;269
948;156
461;607
659;438
183;558
491;767
435;535
41;169
558;780
810;759
740;461
845;154
168;248
690;888
236;175
685;142
923;922
543;453
966;585
725;968
24;793
857;868
315;219
340;103
427;732
150;598
440;769
637;884
972;426
494;177
648;404
317;834
304;629
817;650
824;57
358;451
859;500
733;854
459;629
397;407
895;529
824;787
762;801
3;235
477;867
347;30
93;243
295;839
137;619
680;694
782;272
230;908
422;572
637;922
479;958
555;868
461;846
824;546
222;289
682;538
216;708
214;734
498;455
860;356
869;888
201;774
613;933
334;433
827;405
260;352
691;611
138;102
114;31
21;774
734;812
812;910
794;40
607;815
760;902
234;49
474;924
149;793
