1D;2D
284;78
323;95
321;89
267;30
278;97
266;58
295;66
347;11
263;54
268;86
319;44
269;80
251;62
286;88
285;67
292;50
321;83
298;22
331;92
312;38
335;97
316;25
325;59
327;78
271;71
259;15
344;67
285;56
290;34
291;27
269;65
273;66
310;72
326;72
318;2
297;89
338;20
257;62
319;10
315;25
262;33
299;53
269;25
317;26
283;43
267;31
347;58
252;31
332;96
344;35
298;77
255;50
345;18
258;17
332;33
310;30
333;77
266;32
319;99
319;92
282;22
308;49
340;23
301;28
293;86
342;4
284;30
258;55
289;91
281;58
286;86
291;18
267;4
295;20
287;53
263;35
294;87
309;85
304;23
272;38
250;28
302;12
347;70
292;3
306;73
274;98
291;14
318;16
276;14
336;5
350;92
314;16
340;9
272;77
332;74
339;69
276;85
291;97
269;3
313;100
291;48
325;23
325;60
250;56
283;59
336;45
278;44
331;31
325;3
305;27
299;91
309;70
332;8
282;77
320;15
311;19
306;50
326;48
342;4
306;45
261;37
316;90
281;43
290;23
296;79
274;45
298;66
264;46
282;90
284;80
341;52
317;13
333;34
290;70
317;14
272;9
256;76
310;39
259;20
275;22
289;96
349;31
283;14
299;4
263;79
251;80
323;53
314;12
271;94
347;20
346;30
335;46
255;94
348;99
288;18
332;39
292;88
316;73
280;3
347;41
325;55
300;97
318;69
303;42
255;54
305;67
266;20
271;38
320;19
294;27
347;65
341;99
350;83
314;50
261;95
276;7
288;16
273;99
286;3
286;9
265;2
323;69
262;86
255;86
318;83
314;29
272;80
329;65
277;72
349;90
290;75
259;60
317;32
340;74
342;44
297;32
308;95
310;44
324;15
274;72
345;33
347;40
271;65
276;42
289;11
252;68
317;1
281;94
282;76
266;20
315;93
254;38
291;50
320;8
266;97
283;44
309;11
298;55
256;31
308;81
336;91
279;95
347;64
260;76
259;36
287;86
306;64
312;9
335;34
315;47
281;94
297;56
293;51
252;84
318;95
274;79
292;83
308;63
347;90
283;1
333;96
296;12
271;83
259;40
255;80
297;59
348;99
325;36
279;51
259;21
348;35
260;22
261;34
324;77
328;96
336;58
336;18
276;81
323;72
329;60
310;74
276;95
280;91
339;10
308;43
320;34
273;30
324;50
276;10
260;94
335;6
327;74
346;30
288;1
260;74
348;34
283;65
324;21
349;35
301;59
291;14
278;77
254;84
327;98
319;3
350;66
282;20
309;48
334;62
350;47
267;43
268;97
315;99
291;22
338;20
336;15
296;66
269;10
292;72
345;70
337;21
346;81
336;91
288;17
268;91
278;16
267;53
268;45
307;89
279;86
337;24
314;64
276;49
253;48
277;14
250;51
272;25
274;16
256;33
348;76
342;31
261;62
261;24
276;7
289;19
295;99
344;14
304;1
312;94
347;95
314;80
283;53
281;21
294;91
342;74
328;45
324;20
286;8
298;33
336;64
298;92
286;31
279;70
300;30
266;7
338;14
312;83
290;33
338;82
279;38
255;63
269;15
342;71
271;31
334;85
280;24
306;44
260;49
333;65
343;42
312;55
316;85
315;59
323;27
324;60
318;67
256;32
313;85
304;4
342;32
331;82
255;14
294;69
253;87
268;78
258;62
274;89
271;39
346;21
339;9
350;18
287;56
349;35
292;96
269;30
323;28
325;38
335;67
348;29
306;78
306;52
339;50
281;29
276;80
327;100
297;65
275;7
306;34
316;80
270;40
334;55
277;97
253;86
327;78
261;58
276;6
285;85
257;95
318;98
271;65
331;6
290;53
331;19
261;35
307;29
293;7
254;62
298;67
301;15
325;35
301;24
327;56
306;3
333;44
299;73
283;66
307;28
302;89
350;81
339;75
341;22
340;83
274;83
252;84
250;19
261;28
260;89
333;74
255;7
254;87
321;69
295;8
287;16
279;36
342;11
284;33
345;59
318;13
336;30
331;13
346;34
280;81
283;95
291;12
301;82
346;30
259;46
311;1
254;31
345;26
262;96
334;50
341;86
309;11
328;79
280;89
289;62
322;91
307;54
267;57
265;2
292;28
301;23
290;92
270;70
321;93
311;2
254;79
323;14
345;35
316;62
272;21
266;15
314;93
254;30
332;46
327;28
255;14
307;86
306;39
334;77
321;96
326;46
301;15
254;63
298;8
291;5
263;90
299;75
301;19
278;7
334;97
345;38
263;52
273;28
323;87
331;62
256;77
332;57
336;71
277;75
311;78
344;6
251;27
255;82
263;54
296;11
344;36
336;40
290;43
265;89
311;17
342;9
330;89
306;96
324;17
260;80
281;22
271;47
264;50
305;69
289;23
266;77
266;48
272;68
268;89
279;46
251;90
289;82
299;26
299;92
286;39
311;44
259;90
346;13
310;2
305;47
332;70
321;4
263;39
343;7
251;27
264;4
253;71
252;84
315;14
314;21
286;4
315;91
337;22
330;34
259;45
303;25
333;43
315;52
328;32
303;81
317;22
304;66
275;15
291;92
281;16
274;93
336;79
293;40
292;61
296;41
261;89
300;15
323;74
322;35
267;15
295;44
264;77
272;72
262;27
277;51
282;29
335;45
309;92
259;35
337;65
315;6
307;69
298;44
341;29
343;81
344;89
349;100
278;54
287;36
255;21
305;45
302;11
278;49
300;13
250;83
289;23
303;86
344;96
254;93
338;38
297;78
335;40
316;79
289;19
262;3
284;61
350;33
296;60
293;76
279;65
266;18
331;55
266;16
306;10
345;8
319;73
277;92
277;36
285;45
293;5
276;56
333;43
311;75
335;13
333;78
265;47
273;42
279;30
300;90
273;89
266;100
281;27
288;21
331;9
256;65
269;71
286;100
341;37
271;77
339;38
299;67
328;51
280;40
296;81
265;54
287;31
335;58
340;72
253;100
322;5
285;13
279;49
309;46
280;52
255;2
298;42
312;54
284;28
311;67
268;16
335;7
287;29
255;90
290;11
305;49
272;36
261;72
340;12
287;98
345;61
309;69
287;100
332;18
350;14
347;40
278;44
328;69
294;43
330;78
250;49
258;96
325;2
255;94
309;56
277;15
290;89
316;27
295;95
281;73
325;20
255;93
333;98
285;32
344;48
336;20
320;99
265;27
269;83
332;77
267;70
281;63
265;89
274;20
311;45
279;49
288;42
325;13
312;94
285;48
325;75
302;24
269;20
323;67
302;38
335;83
339;71
262;28
309;58
303;35
304;39
306;68
290;59
273;21
297;11
345;70
305;62
329;48
341;95
348;65
312;86
337;67
337;23
281;95
252;38
291;78
253;99
290;72
295;68
342;98
275;37
291;42
295;34
306;67
283;70
300;16
334;92
322;10
290;54
301;42
260;80
347;62
285;26
262;61
299;32
309;10
294;87
258;26
287;29
313;42
251;90
271;38
271;59
327;5
272;54
342;41
265;88
333;82
299;63
326;77
301;93
283;72
302;28
285;31
343;34
339;79
264;31
289;82
296;64
255;62
313;29
335;55
282;34
269;94
279;64
285;46
339;63
296;70
268;85
292;25
315;16
254;1
332;2
296;44
265;14
304;85
311;74
350;41
266;23
320;42
343;38
336;27
298;47
317;42
294;39
260;6
279;73
324;51
276;9
344;6
346;10
313;91
333;40
296;65
264;6
336;29
346;29
274;25
293;66
342;18
255;48
284;21
287;4
252;28
258;76
322;27
279;39
305;55
263;50
280;27
325;79
347;79
270;66
277;100
308;88
336;74
329;82
277;35
313;39
339;88
265;72
300;38
346;75
306;90
302;85
259;78
292;99
338;92
334;19
330;25
316;30
300;81
258;77
336;10
344;19
321;47
288;39
326;45
288;6
313;62
323;85
294;57
294;30
343;68
324;83
300;17
333;41
252;14
251;78
319;42
321;99
312;84
348;58
307;40
259;18
284;27
266;25
345;11
273;21
339;48
278;77
335;31
306;92
283;52
269;2
276;58
336;36
345;55
297;61
290;71
315;66
318;41
317;33
300;8
260;84
298;74
309;1
345;40
287;45
306;9
301;60
340;71
336;96
286;57
329;81
313;42
305;7
349;69
255;11
293;73
305;87
275;29
324;85
304;40
337;66
349;1
328;28
327;90
349;64
254;59
296;80
317;10
281;33
310;55
291;48
308;21
258;78
328;45
328;82
271;37
294;6
258;32
268;1
333;86
288;67
255;76
299;62
341;52
274;76
341;18
347;100
316;43
326;62
341;79
268;68
308;25
346;69
336;19
283;77
279;69
316;79
334;45
333;64
308;66
301;54
333;64
330;64
314;47
266;27
324;58
292;9
333;85
314;66
314;38
317;53
276;17
284;83
350;36
264;8
264;95
317;45
282;75
337;9
256;30
254;37
326;60
284;67
319;49
326;10
315;94
267;32
325;92
314;65
322;38
343;91
338;12
262;47
327;7
252;26
