1D;2D
295;4
285;30
294;39
331;45
290;59
321;73
320;74
287;15
339;10
275;100
262;42
255;4
330;1
311;68
278;66
271;91
261;65
255;95
261;100
316;74
340;85
315;32
323;66
258;61
270;99
257;94
288;35
303;89
292;43
255;3
306;99
287;70
330;65
257;29
257;83
287;83
276;90
307;25
287;14
255;94
265;5
327;75
324;49
275;97
289;27
312;3
305;15
325;48
300;99
283;85
350;54
334;73
325;49
285;57
344;32
271;52
336;26
336;15
262;63
335;27
299;43
342;55
253;40
272;94
347;27
264;38
332;88
280;13
278;39
270;35
265;75
278;95
259;26
350;91
347;63
328;11
311;96
272;33
342;94
306;37
329;78
341;99
298;59
262;55
275;98
289;43
283;11
276;20
305;55
274;83
341;24
316;94
254;4
318;94
335;56
300;14
303;76
311;43
318;78
288;93
273;61
258;3
323;49
335;44
305;36
303;90
338;78
315;30
343;21
282;21
257;46
275;4
322;23
277;4
277;97
324;64
307;34
317;21
254;34
263;78
255;32
340;22
284;7
349;25
251;90
253;73
276;86
278;29
281;71
330;86
252;41
254;33
332;6
339;80
306;95
349;60
295;44
296;2
336;92
336;31
316;72
313;83
325;44
338;99
311;75
278;82
299;35
328;69
307;7
284;14
253;7
265;61
261;79
261;85
254;15
255;70
312;92
329;5
338;65
320;65
328;80
285;1
335;84
301;24
305;58
264;30
296;22
262;60
310;4
311;4
329;1
257;60
302;94
292;30
283;46
278;74
300;23
320;18
276;54
295;14
328;46
334;91
270;67
309;43
324;76
275;50
281;34
259;34
261;66
262;78
253;11
310;34
288;17
271;5
290;3
316;44
272;83
336;48
259;71
254;66
299;35
333;57
306;29
339;18
252;67
340;16
285;95
346;54
338;38
318;12
314;89
251;97
336;10
284;77
290;74
303;8
288;6
298;16
301;62
288;56
340;53
253;68
313;59
304;62
327;16
281;21
286;34
287;54
313;29
286;58
292;64
335;8
286;53
293;83
330;47
311;43
268;76
299;35
334;22
321;12
264;37
254;23
260;92
350;87
279;54
302;20
254;92
294;56
312;87
286;1
288;84
288;49
314;3
283;92
284;96
289;57
346;15
293;63
303;17
319;67
301;32
286;21
257;2
345;33
291;40
285;95
346;96
337;95
292;7
319;68
259;71
261;13
300;46
300;98
297;16
276;77
342;10
283;35
260;99
284;40
330;5
348;100
274;47
260;1
343;77
342;72
291;94
302;6
313;91
309;67
298;94
306;53
261;6
258;72
281;71
340;16
329;1
295;27
270;63
258;37
277;9
299;28
268;60
256;94
276;66
282;82
309;78
261;89
277;99
329;43
292;50
303;53
286;57
315;32
331;44
323;19
331;64
280;24
279;12
323;95
293;67
343;67
346;14
299;54
345;20
250;63
320;3
312;94
336;94
335;24
316;4
325;31
321;93
257;64
343;59
254;48
303;55
283;60
343;14
297;42
339;5
265;40
321;2
289;81
303;69
334;97
318;24
284;46
347;74
326;8
266;13
287;9
326;74
325;33
301;95
286;29
288;49
253;82
306;80
273;41
267;28
310;24
308;11
334;55
340;56
278;89
253;58
289;85
298;93
328;72
346;68
264;37
330;4
254;95
292;89
349;33
273;12
255;88
286;32
267;71
312;66
311;23
326;76
323;23
298;38
309;63
328;35
343;9
274;76
282;23
335;62
317;93
267;61
336;9
281;22
349;90
295;79
276;5
278;35
335;40
324;40
340;7
251;92
268;80
252;4
304;100
342;10
301;23
253;12
264;91
289;84
271;5
324;35
280;95
335;100
305;86
303;83
287;3
297;14
309;48
259;11
280;22
255;19
278;44
263;18
290;95
275;80
289;34
254;82
302;41
298;93
331;46
304;83
341;92
283;48
281;47
339;76
252;96
270;55
335;27
346;62
345;66
251;51
342;43
350;92
266;8
330;61
263;8
253;20
306;44
270;99
312;54
337;88
304;57
310;47
294;72
335;16
269;12
319;40
331;44
253;22
294;70
291;49
293;33
314;78
261;79
328;5
317;1
300;48
311;94
295;87
310;66
329;18
314;78
335;75
258;74
268;3
270;66
275;79
250;46
263;13
280;39
307;12
328;55
327;64
308;9
262;93
284;91
308;77
306;29
301;43
337;47
262;85
329;100
296;56
270;9
307;50
329;21
310;49
316;67
