1D;2D;3D
288;58;40
342;9;57
269;58;60
283;93;62
347;29;49
302;26;14
294;52;16
289;46;96
286;88;81
272;14;85
263;8;48
266;40;69
288;80;30
295;81;61
258;23;17
333;50;77
326;77;28
326;23;26
341;100;85
287;2;85
250;95;51
348;50;1
265;62;66
339;92;31
301;83;61
293;10;94
311;24;72
260;89;99
325;65;33
291;29;76
292;1;98
306;25;10
338;37;81
298;26;74
261;71;39
253;31;62
276;86;9
293;39;2
341;55;41
265;84;39
296;33;3
347;89;4
303;63;67
305;1;17
270;35;59
335;71;41
296;75;30
327;54;66
261;15;78
257;3;70
341;76;20
312;64;33
251;93;43
319;78;90
308;40;95
321;9;13
250;69;49
319;61;72
275;60;19
281;92;66
270;88;87
347;13;6
295;26;90
304;57;77
343;14;12
268;93;48
275;79;77
338;29;29
266;40;45
321;9;6
269;38;21
252;33;41
333;2;24
265;27;99
268;21;83
343;34;54
257;29;33
263;38;56
268;68;74
320;64;91
308;83;45
251;43;14
266;7;31
314;68;99
255;78;48
329;28;36
330;61;62
299;29;90
277;44;70
341;96;88
303;4;19
281;67;18
323;80;65
250;65;100
345;89;50
273;21;19
292;4;78
326;62;92
320;46;97
271;99;58
316;73;45
318;86;42
339;1;40
316;5;19
346;52;54
287;94;73
347;9;8
340;74;26
323;16;12
308;16;59
344;42;66
267;20;62
340;16;68
300;13;80
253;4;84
288;19;59
282;65;68
272;30;19
336;94;67
316;55;27
300;49;76
313;21;20
289;100;96
278;15;95
264;86;21
274;8;36
263;83;60
334;55;76
337;53;2
325;63;80
350;47;62
254;14;21
279;85;18
317;22;48
293;77;23
269;67;93
254;94;36
323;79;76
291;37;49
256;41;13
311;34;85
345;88;36
268;85;67
250;72;27
284;5;77
293;62;56
268;98;52
270;72;35
255;26;11
302;40;71
315;45;45
290;24;22
251;14;20
319;91;84
313;25;79
261;66;79
295;55;35
289;70;12
349;60;35
320;56;73
315;31;76
250;24;61
279;17;47
293;16;92
270;34;58
326;1;79
252;95;13
329;5;58
321;8;40
340;10;100
265;35;74
268;58;76
266;49;35
314;97;3
336;50;68
289;1;91
257;7;33
258;75;42
329;85;91
275;86;62
288;41;23
257;36;53
312;7;55
332;33;40
295;15;53
271;59;11
280;17;30
266;96;93
287;49;74
301;77;34
257;72;57
294;80;68
344;32;11
258;29;43
322;48;36
339;66;13
290;84;43
334;10;27
257;52;64
304;52;12
302;100;93
316;88;92
252;61;9
338;15;56
338;44;12
316;79;68
350;9;23
327;63;66
276;54;26
312;75;51
250;88;63
301;73;12
330;84;2
319;44;90
250;59;81
285;72;96
304;82;97
348;43;82
307;33;91
299;10;3
347;57;33
344;54;20
262;66;46
349;38;72
271;3;84
255;42;55
346;93;41
303;30;39
265;74;85
269;25;85
270;87;58
306;19;58
282;74;78
291;98;67
276;55;9
334;56;93
265;39;52
275;49;30
285;49;80
330;85;69
304;33;92
320;68;79
336;48;43
281;5;28
296;25;96
343;17;82
322;62;37
312;14;3
342;72;64
346;62;32
340;45;17
273;23;31
325;19;13
333;60;37
317;41;86
261;96;4
279;19;80
296;83;69
298;76;14
301;39;61
346;40;47
278;98;64
281;36;15
314;52;44
313;37;88
291;100;52
280;53;76
256;57;1
256;62;8
316;2;60
320;92;76
282;67;6
295;41;38
317;89;67
304;79;38
306;100;18
261;14;74
283;75;94
294;99;80
293;31;86
279;12;49
282;76;41
332;70;52
278;64;39
336;72;55
270;18;2
271;21;6
303;47;92
337;26;33
266;17;64
272;38;62
288;90;88
313;40;91
301;84;91
345;75;57
287;19;72
331;63;86
341;61;33
252;5;19
298;44;51
318;21;65
345;40;24
298;44;21
286;52;13
310;47;32
297;95;19
250;51;5
266;67;29
267;89;99
345;82;81
267;6;27
295;44;59
307;17;47
314;31;90
259;1;92
312;100;49
308;59;8
309;15;96
268;77;66
264;55;32
315;40;53
324;53;53
341;31;61
311;82;55
310;14;65
322;77;22
332;100;53
276;61;2
340;63;56
274;26;40
284;18;12
316;99;36
281;77;51
275;3;98
288;84;33
350;77;18
292;51;14
306;64;88
280;57;46
269;82;3
252;40;12
297;25;84
284;96;31
294;66;2
317;99;26
306;78;45
306;36;93
322;32;38
316;3;91
302;77;54
326;24;89
323;94;85
328;61;51
339;6;97
331;55;56
320;53;1
321;18;59
285;11;86
280;93;10
292;98;42
250;43;73
320;34;9
309;70;100
250;52;75
332;5;33
267;99;68
257;69;1
268;59;16
311;62;56
258;95;20
262;77;14
304;44;89
341;20;78
268;83;87
261;95;81
298;46;77
319;56;88
294;93;94
334;21;72
286;76;53
309;39;38
316;24;50
344;49;97
274;87;61
275;91;69
309;11;25
280;91;36
342;51;59
350;3;98
285;75;66
280;95;15
301;76;44
317;100;86
274;18;6
346;56;25
328;39;89
327;25;38
298;7;95
259;51;70
274;26;74
304;47;49
312;52;25
320;2;69
265;68;96
276;88;23
279;55;94
314;65;1
325;61;30
258;43;85
349;84;66
323;52;55
268;61;99
255;30;67
253;61;14
287;76;1
259;45;72
252;88;38
274;72;84
270;25;28
281;94;39
328;88;74
339;42;37
347;70;20
345;16;1
286;39;97
274;85;6
340;31;55
287;5;28
293;90;75
266;86;66
283;50;1
320;75;42
256;20;100
350;19;73
297;37;82
253;47;44
268;56;18
276;39;13
286;89;8
251;18;63
287;81;67
293;27;98
342;79;29
338;12;70
331;62;28
297;65;6
265;19;80
305;46;47
287;58;65
261;36;56
322;96;33
328;21;20
331;36;82
264;99;41
343;55;27
327;12;68
291;5;79
350;57;21
271;80;50
268;9;68
270;56;12
313;1;26
307;60;90
254;23;25
331;82;20
312;31;11
271;43;99
318;26;2
255;15;11
304;44;93
322;8;22
302;38;89
291;27;23
293;65;81
263;77;91
255;44;76
308;19;72
294;1;33
256;12;32
328;65;66
256;23;57
301;66;51
337;20;73
314;18;77
264;46;38
262;50;65
330;34;60
274;42;21
277;39;16
284;64;76
331;77;97
258;76;79
273;44;31
321;97;77
314;68;24
324;93;60
302;4;87
261;6;82
262;95;2
302;75;54
331;71;78
316;8;28
339;41;21
284;34;85
321;18;37
308;45;80
266;81;21
273;47;57
290;42;54
343;35;82
338;89;45
318;41;90
251;15;8
280;62;67
300;3;64
341;45;38
266;16;1
319;19;44
269;93;28
261;51;1
329;75;54
258;62;13
324;48;32
315;43;88
252;78;79
322;51;39
348;56;63
333;15;48
321;49;22
328;6;99
283;13;90
256;60;74
305;91;23
350;18;41
305;88;34
277;9;70
340;24;50
292;33;95
257;48;65
317;2;44
317;24;33
279;65;59
260;39;91
274;94;26
297;49;79
302;91;40
334;20;6
290;19;62
319;32;69
340;82;87
291;14;43
345;61;45
311;20;33
325;32;96
324;37;97
277;85;90
252;2;95
317;33;95
272;5;98
291;52;84
333;73;36
262;6;68
330;70;65
293;7;71
300;98;100
335;40;51
287;67;79
290;2;30
313;32;89
269;4;74
283;44;100
294;48;97
349;1;36
272;19;52
287;35;92
327;54;8
336;50;18
328;41;42
270;51;49
286;35;27
281;5;16
319;41;1
288;53;100
277;55;92
307;68;77
330;33;26
297;38;58
263;100;23
319;53;55
270;62;100
296;1;28
273;5;72
272;72;42
320;28;58
312;36;20
333;4;78
298;1;45
315;41;4
319;1;24
259;95;67
350;64;53
263;22;50
321;60;4
255;78;66
343;37;92
317;27;32
266;24;78
280;1;89
261;81;62
309;43;73
254;62;23
296;92;52
269;87;77
303;25;92
283;83;39
277;36;54
273;63;44
264;74;34
303;89;86
346;50;75
334;63;4
302;18;45
314;12;10
319;31;73
334;55;66
342;31;79
317;46;22
350;10;61
271;39;27
348;49;88
302;52;67
324;72;55
347;4;87
318;22;61
327;82;9
268;89;85
336;40;4
342;96;64
323;86;60
267;3;17
266;57;19
282;67;87
268;61;58
318;11;80
311;98;57
314;99;91
326;89;87
272;72;88
318;10;44
264;56;56
344;79;66
331;10;69
289;14;30
312;97;37
280;20;70
342;18;62
283;14;63
295;59;60
251;87;17
267;94;63
301;60;41
312;6;76
262;42;87
304;49;77
270;83;96
297;94;38
274;4;74
324;61;5
337;53;48
276;60;57
309;41;41
312;34;84
295;85;97
266;44;19
268;68;38
344;74;63
276;58;52
262;95;76
317;71;20
257;87;54
270;35;66
324;82;8
346;58;36
301;71;9
283;9;85
252;11;99
287;60;76
282;86;25
296;80;99
293;14;89
284;9;79
347;97;98
303;3;99
315;51;27
344;72;21
250;87;25
268;35;33
300;1;39
350;74;6
291;18;55
319;100;72
346;4;49
260;70;22
304;35;46
310;48;26
348;64;100
318;36;56
260;72;42
255;8;67
303;50;29
265;85;57
273;82;78
343;63;51
287;5;71
250;56;47
250;36;73
301;97;5
310;57;33
257;12;59
284;63;71
311;62;69
348;99;69
287;72;82
309;49;35
302;54;76
347;55;84
308;26;63
282;100;46
344;86;6
259;63;85
282;34;84
320;46;98
269;57;18
273;7;30
346;33;71
348;6;45
280;62;53
344;49;52
