1D;2D;3D
338;5;83
313;98;100
258;50;59
285;74;14
290;38;65
293;56;27
255;99;10
317;3;96
334;34;62
301;61;48
321;89;37
313;20;71
350;95;54
279;66;82
312;82;25
330;50;82
325;89;20
314;46;91
343;9;32
259;83;12
300;98;18
306;98;37
271;50;27
329;43;10
301;69;83
254;99;67
262;77;42
345;95;58
282;64;5
272;19;83
280;65;55
327;95;44
297;26;62
289;17;39
269;68;73
322;2;63
349;84;12
254;89;34
258;42;63
325;19;82
327;10;91
314;21;8
261;19;35
279;83;66
266;32;2
251;34;73
322;34;9
325;7;88
315;65;40
275;32;18
280;10;38
267;13;8
346;3;48
294;73;31
335;39;57
303;18;62
339;55;31
314;68;29
321;45;58
323;50;55
320;48;54
284;31;83
322;23;45
318;57;25
274;20;71
310;12;10
329;69;44
301;12;74
284;32;28
288;55;26
311;11;5
254;21;97
348;23;22
289;80;43
335;8;89
280;21;30
350;45;63
299;74;14
334;1;88
343;100;46
298;47;70
261;4;80
269;25;40
303;39;30
257;8;45
290;92;75
264;62;70
284;62;77
261;73;43
307;72;79
280;44;37
323;35;27
275;38;47
344;48;66
272;2;50
285;43;74
294;62;72
312;85;45
285;2;26
330;68;55
