1D;2D;3D
280;90;39
271;8;10
301;5;35
340;34;16
341;92;46
334;45;76
270;22;28
346;89;18
253;62;34
334;70;10
341;29;73
264;5;13
252;85;99
293;75;11
346;15;54
294;53;83
315;21;58
342;59;91
327;46;50
340;99;87
345;59;45
345;61;64
282;3;41
308;73;4
290;59;86
312;71;58
303;7;72
280;74;50
272;88;67
294;41;28
298;25;52
314;79;65
329;46;18
314;55;50
312;33;79
321;96;58
342;98;65
301;56;73
350;51;14
334;67;83
340;47;84
320;13;25
335;7;84
269;61;80
260;30;69
283;16;54
270;95;18
273;61;98
297;95;3
302;54;46
264;97;37
300;42;7
319;13;65
275;21;41
304;14;70
306;78;1
255;39;79
294;82;59
315;4;68
328;15;64
252;61;15
285;32;49
316;20;57
308;99;5
350;62;13
331;4;44
271;80;60
301;42;38
255;84;26
310;78;31
278;28;54
304;72;56
286;15;13
257;18;41
347;19;2
257;23;15
326;64;30
337;55;27
325;69;22
269;35;54
269;64;56
262;66;46
277;88;39
258;33;2
259;76;31
274;84;23
255;10;14
299;58;57
347;37;23
270;6;58
311;62;28
259;66;94
287;28;29
296;87;94
328;80;8
283;73;98
259;34;36
302;79;13
344;10;82
311;48;1
285;91;78
334;64;47
265;94;20
256;30;81
270;82;45
335;81;97
305;84;11
349;39;70
308;80;46
285;59;85
294;3;96
349;24;43
339;11;61
267;32;96
253;68;28
272;85;55
270;11;80
257;24;24
338;73;78
258;86;64
290;91;62
342;94;7
344;45;52
313;43;50
276;70;26
292;31;46
348;68;84
314;33;60
253;91;15
330;58;22
332;83;20
343;10;1
345;22;76
265;89;34
336;7;45
335;16;48
258;47;31
327;46;64
269;100;1
325;51;56
331;47;57
273;60;36
326;77;57
302;44;31
340;7;53
345;61;55
331;85;41
272;47;21
279;92;54
336;25;70
255;48;68
317;99;3
332;62;74
320;8;71
279;40;51
340;6;82
284;89;40
272;75;38
291;77;4
261;81;22
280;31;39
270;12;47
292;76;16
346;81;86
276;58;14
346;89;23
329;61;28
322;3;42
345;2;60
261;43;63
337;85;69
281;94;43
318;45;86
257;14;53
335;57;45
306;38;60
348;69;89
329;17;61
286;73;88
303;46;31
266;91;62
267;77;80
288;3;36
338;68;96
329;84;29
325;59;58
284;41;26
317;54;57
281;84;35
298;61;77
273;12;4
261;84;38
279;53;37
314;19;62
270;66;40
270;76;90
310;67;74
334;7;66
335;78;10
311;91;26
295;28;34
349;90;32
315;61;100
251;78;97
256;72;92
333;14;33
327;10;49
319;14;19
330;44;53
253;44;25
288;40;20
290;6;68
296;4;80
258;61;32
338;16;84
313;71;57
280;86;32
