1D;2D;3D;4D
305;343;270;168
10;29;123;233
707;651;723;833
86;11;227;209
81;293;60;211
346;170;45;316
226;12;8;122
930;997;861;883
652;698;934;769
296;346;179;215
970;856;858;872
147;216;122;239
193;276;349;88
657;936;738;770
150;31;270;233
309;234;166;37
966;676;922;996
660;929;844;669
320;60;26;101
800;984;738;765
273;7;272;214
802;820;925;708
331;6;55;219
326;236;98;122
853;837;712;741
673;821;948;864
92;334;157;224
724;934;907;651
887;938;660;732
996;670;683;902
872;653;870;774
88;265;166;314
94;254;246;202
56;59;147;307
167;174;131;274
856;708;984;771
780;662;680;843
98;102;322;40
67;8;327;317
190;226;19;184
745;768;844;834
849;763;737;942
108;1;216;163
327;159;146;208
56;180;16;96
828;657;964;943
262;245;340;131
272;128;331;99
189;3;12;221
906;865;812;971
747;783;800;773
217;45;228;218
245;239;147;136
885;732;766;682
880;868;833;839
733;699;946;888
871;995;778;997
837;659;996;840
228;128;246;178
743;724;680;797
919;837;943;982
291;204;158;331
321;292;310;338
349;306;231;86
318;311;322;290
716;868;705;820
41;63;335;338
250;115;238;348
722;812;942;683
749;695;749;757
732;981;888;912
849;773;852;912
695;763;753;700
338;99;124;98
154;58;174;321
267;249;133;277
743;877;853;789
189;280;141;350
928;876;852;918
102;89;165;27
299;264;231;263
920;976;755;901
722;776;701;657
767;700;962;680
56;193;246;3
988;863;709;974
165;181;11;32
987;787;828;927
96;111;228;134
914;773;889;676
977;689;812;923
55;269;319;306
18;162;245;222
103;333;338;289
748;898;858;818
678;811;879;992
680;954;802;872
915;678;867;888
681;727;661;827
728;734;966;698
