1D;2D;3D;4D
114;800;111;41
770;201;55;55
46;211;571;49
902;3;218;62
113;64;884;210
176;29;614;127
243;685;163;19
688;35;211;93
205;725;212;66
102;695;171;193
88;157;558;57
241;948;177;126
526;98;88;31
82;104;720;133
33;91;968;123
758;76;122;116
179;213;880;220
229;50;866;237
100;914;198;9
882;147;13;56
773;6;226;7
23;118;116;908
110;209;55;996
209;42;531;126
210;64;105;582
108;691;188;128
227;712;203;41
68;228;165;572
78;238;183;908
1;145;14;898
132;105;100;632
168;131;116;869
42;18;921;156
983;90;186;147
7;102;206;516
128;990;61;205
197;164;4;899
111;752;216;79
769;112;236;54
197;148;936;35
157;45;650;169
142;247;800;80
73;899;137;105
13;15;86;816
9;671;117;203
91;517;110;223
803;115;170;87
247;926;237;109
248;208;85;657
632;167;76;131
138;176;62;503
245;615;247;104
219;180;241;740
107;220;507;107
978;27;17;46
650;45;207;188
204;770;233;76
694;131;170;116
534;221;233;139
86;127;613;104
124;60;154;770
123;906;243;157
54;26;74;542
93;880;145;63
101;241;122;806
212;575;204;121
888;232;98;238
73;789;79;17
503;175;192;199
547;164;157;182
227;650;230;209
80;149;111;538
167;79;126;501
613;218;210;212
845;168;92;166
140;128;119;643
2;712;230;153
246;147;670;182
222;624;182;159
226;760;99;158
175;197;243;855
120;7;97;723
188;557;249;227
178;22;828;207
90;81;641;75
682;56;196;235
625;187;79;118
178;212;925;101
514;239;81;199
3;151;996;105
87;120;57;814
173;144;4;585
162;985;203;25
131;664;238;101
102;543;158;67
852;114;67;103
817;145;158;31
639;204;139;32
174;111;829;96
190;82;626;227
696;60;214;107
631;246;82;197
53;41;155;711
89;209;202;809
214;100;200;962
748;199;241;88
12;232;819;210
150;514;63;7
592;231;66;108
34;658;214;43
6;23;4;522
194;228;965;235
234;723;105;214
138;577;18;207
242;144;562;206
183;77;173;548
195;120;193;882
103;867;65;82
90;64;52;823
81;829;90;14
82;30;175;723
165;6;73;782
742;177;164;16
591;171;198;48
190;123;643;20
116;178;23;596
26;51;926;46
170;162;204;551
198;65;153;855
83;6;747;129
994;82;127;24
613;30;248;66
65;4;977;223
37;212;736;56
28;159;205;754
798;45;175;3
55;31;227;528
566;202;114;125
107;62;577;107
172;761;58;103
98;105;13;831
238;71;766;240
124;240;809;169
13;117;202;802
771;200;127;26
25;996;183;3
78;54;18;939
3;115;794;21
659;68;65;78
124;37;821;247
65;237;666;108
869;35;56;212
