1D;2D;3D;4D
74;718;232;165
221;148;599;178
30;767;91;174
211;920;80;178
191;562;120;25
66;997;199;44
204;39;37;518
213;98;62;999
44;8;796;124
536;97;95;170
234;249;234;642
851;173;78;54
240;634;239;8
117;17;123;737
155;145;815;92
13;48;593;96
27;208;237;733
147;653;4;183
188;31;131;692
615;177;248;56
974;7;176;200
895;148;154;225
109;710;144;212
775;125;220;196
753;24;179;195
186;39;901;148
118;37;532;243
736;2;157;209
25;858;30;155
218;190;11;601
887;159;172;196
18;70;800;224
581;78;195;85
169;199;140;632
51;225;143;733
611;133;44;1
715;223;196;21
204;772;11;147
26;50;563;57
52;124;152;888
17;95;8;811
207;228;700;124
110;9;100;822
161;770;224;249
69;888;128;223
75;71;687;15
15;953;25;242
860;72;129;103
121;159;9;590
869;155;18;226
711;53;198;27
154;544;121;3
60;12;47;624
147;574;151;59
39;205;513;158
154;193;84;616
97;87;244;697
29;183;88;987
946;14;134;29
247;147;211;582
195;61;928;53
101;29;763;134
130;225;4;849
85;60;755;14
56;547;16;201
190;157;969;44
825;91;174;182
146;23;657;133
128;153;627;146
23;187;851;28
42;605;41;117
90;974;25;114
210;61;87;796
516;54;121;196
670;154;198;11
866;243;211;32
100;509;52;50
242;160;760;65
51;780;195;224
67;987;54;8
934;100;144;171
940;213;212;59
176;210;243;678
842;225;128;72
212;976;238;151
139;96;971;239
211;823;33;237
10;189;181;593
55;846;176;95
120;233;946;23
171;41;690;218
649;86;25;43
182;95;553;233
166;213;32;813
134;606;152;84
501;211;84;77
246;111;683;245
108;212;242;799
97;230;660;116
43;70;165;879
