1D;2D;3D;4D
231;724;9;75
66;748;14;221
3;248;631;47
112;178;903;7
108;176;46;988
50;206;552;140
59;948;175;218
75;208;34;630
191;511;89;83
226;636;7;184
904;241;114;34
887;36;58;13
191;99;882;184
854;120;185;139
135;234;204;742
206;848;125;122
66;937;188;63
90;241;243;684
190;920;18;72
59;33;848;55
127;958;123;73
17;196;883;79
78;92;720;65
220;996;189;51
61;209;922;224
653;201;19;139
138;83;779;223
541;119;28;184
87;122;136;734
195;224;130;625
172;204;672;182
79;683;232;167
43;29;719;248
4;36;940;57
71;185;210;872
80;228;951;33
675;5;101;46
818;3;129;174
643;246;152;38
142;8;30;962
65;151;8;570
109;501;13;190
103;60;37;704
7;42;888;9
192;187;530;90
134;757;180;133
168;39;872;45
83;219;38;832
101;709;45;150
71;56;20;919
12;222;932;83
111;35;881;106
30;230;871;98
95;121;223;567
153;118;16;771
827;210;40;101
71;82;123;842
88;922;187;8
52;190;85;832
589;239;24;96
26;25;970;47
29;213;997;160
52;972;87;219
171;240;122;783
236;537;117;209
4;550;121;124
654;172;19;163
790;61;135;192
181;114;702;145
56;521;28;112
734;119;197;1
117;535;88;19
154;879;110;126
95;169;797;174
889;247;222;25
931;136;142;203
72;631;39;221
96;95;892;178
503;82;197;89
83;222;119;893
169;991;249;122
75;45;225;794
174;39;929;202
151;771;165;116
173;111;188;538
176;33;552;25
60;17;625;41
785;228;140;123
142;125;598;17
146;224;908;83
229;623;123;43
35;37;918;10
743;244;106;47
41;25;635;174
106;235;154;838
73;2;129;911
3;781;165;172
105;85;129;722
782;13;146;59
31;233;639;146
921;167;160;148
196;230;21;510
154;22;586;19
243;928;49;87
189;62;145;794
947;200;165;160
118;216;800;143
246;573;65;244
17;240;874;71
104;539;141;90
109;89;557;182
161;151;693;164
201;77;219;636
38;36;95;667
36;181;208;645
217;110;890;137
93;66;578;154
247;95;205;517
195;228;748;197
508;21;80;201
909;154;87;76
621;243;160;93
624;118;205;117
186;69;730;44
128;131;922;250
62;123;646;168
24;866;107;209
138;747;176;124
719;196;135;177
29;85;101;587
765;171;152;184
57;822;201;58
64;64;892;120
923;130;135;191
224;549;54;92
45;150;97;548
162;178;188;705
181;114;208;926
10;221;58;541
179;243;196;933
203;609;137;143
947;216;224;171
175;197;190;574
114;685;245;89
187;623;59;229
190;50;132;520
147;609;195;236
242;93;220;856
985;192;52;183
174;60;62;710
85;15;605;23
710;55;179;182
1;946;12;148
84;25;728;75
667;122;167;183
247;146;951;164
140;581;86;128
891;142;17;161
136;214;154;656
128;222;247;531
208;187;179;723
75;50;728;31
656;240;174;175
183;623;60;78
20;712;190;223
213;645;31;126
118;189;755;4
594;20;93;151
215;19;675;110
817;28;181;133
3;785;209;227
675;232;20;157
15;212;579;139
173;189;813;196
148;220;739;6
54;205;606;159
848;174;156;105
826;40;117;169
990;126;181;23
99;162;221;840
215;36;927;98
819;13;157;119
179;47;924;224
137;124;12;696
77;545;171;161
145;17;905;141
245;39;233;832
57;190;586;219
184;29;785;130
72;894;87;180
618;164;20;92
179;555;20;209
204;1;175;789
876;12;100;73
51;245;213;558
129;580;206;202
74;179;151;722
208;4;822;18
661;208;97;161
706;195;117;16
812;104;91;116
250;586;52;133
203;882;211;1
999;21;186;241
150;206;225;850
596;127;166;9
818;146;107;63
22;69;786;112
73;592;245;27
210;27;183;799
43;162;825;4
230;516;121;191
110;996;20;136
185;20;667;94
813;165;215;18
149;69;72;520
204;93;958;202
790;199;22;140
6;12;167;551
104;250;145;754
201;38;535;62
79;824;141;36
963;203;200;8
16;244;767;207
52;40;55;918
941;23;139;68
193;61;73;510
26;185;228;831
89;807;219;211
119;674;89;144
183;108;826;218
198;64;12;927
47;994;94;47
78;164;216;569
209;651;209;185
776;12;216;177
860;230;29;149
104;34;8;981
246;215;676;249
192;202;973;4
544;205;34;95
571;20;194;47
885;13;165;60
609;80;24;140
35;138;197;810
146;561;158;91
108;961;184;236
231;862;169;191
112;781;50;202
234;78;956;173
7;76;827;103
893;119;205;172
731;1;39;96
61;12;789;237
183;812;71;246
102;92;891;225
654;162;122;243
125;96;811;49
703;90;239;122
64;535;133;42
248;784;210;80
91;80;93;999
250;14;784;148
57;204;228;732
530;106;214;223
546;105;102;228
130;975;167;193
162;237;685;1
603;146;217;14
34;88;527;131
1;215;71;630
94;81;131;849
67;126;571;46
101;145;591;236
136;691;228;183
161;713;3;43
27;244;195;570
201;87;753;9
14;144;972;83
225;27;752;238
105;187;87;686
75;868;126;239
195;41;137;976
29;104;35;556
201;634;58;175
62;618;9;235
90;32;592;196
205;238;131;745
211;210;206;547
18;104;560;205
682;208;193;53
652;32;1;76
49;933;173;148
205;166;689;249
66;125;923;107
633;27;99;235
104;616;63;98
884;61;111;212
775;132;36;225
45;132;652;29
100;23;816;140
111;219;608;238
105;187;211;679
952;210;157;58
143;138;177;520
717;63;163;92
193;54;84;745
45;72;188;914
948;7;188;28
52;153;850;212
520;224;233;249
699;3;80;225
138;244;222;981
516;124;8;51
49;128;165;799
246;111;2;501
84;993;181;34
515;211;245;147
70;552;204;157
89;197;79;547
98;47;726;87
93;945;172;234
44;554;54;102
206;181;511;197
155;78;12;590
578;41;4;47
35;708;156;56
27;919;206;76
150;748;149;116
