1D;2D;3D
221;199;849
867;227;188
739;149;58
153;23;844
110;604;150
63;34;874
91;615;209
94;884;161
247;154;516
188;965;219
533;176;95
780;87;181
226;553;199
242;673;140
49;945;30
165;28;856
83;514;184
680;250;49
817;150;110
53;853;176
202;771;84
249;637;55
920;171;225
140;58;886
610;187;193
862;228;228
69;207;992
643;3;206
862;207;176
713;139;172
50;23;949
118;57;967
711;158;107
181;926;124
56;942;89
77;217;808
907;40;1
913;1;152
135;531;219
959;124;211
123;56;524
752;163;230
812;101;90
15;550;214
34;65;797
47;143;703
751;78;92
66;795;79
27;944;75
248;949;105
109;699;1
176;144;902
729;195;142
43;9;879
575;199;15
958;236;178
934;200;189
191;589;15
98;162;892
140;130;560
749;97;115
10;177;940
115;648;244
780;12;208
134;248;770
568;100;219
741;4;129
223;8;907
249;507;142
156;52;695
49;80;541
239;131;710
180;143;751
796;67;210
115;539;130
610;110;130
923;239;148
598;213;147
845;217;248
122;816;118
677;17;240
130;585;80
132;60;985
601;250;51
172;239;513
555;152;236
705;50;245
586;184;180
130;10;887
167;109;941
186;581;54
131;186;679
180;860;227
205;71;629
158;908;17
78;178;852
117;12;958
234;832;76
90;98;941
14;545;77
162;637;105
16;775;31
114;567;2
64;897;40
115;233;500
15;178;686
131;152;548
55;158;674
727;188;220
58;855;172
875;85;77
53;75;846
31;760;109
207;916;114
56;72;572
506;237;188
916;26;201
156;744;1
572;42;13
981;244;10
216;929;4
212;238;933
692;1;220
204;53;633
807;143;30
8;199;537
213;150;603
25;577;81
193;999;240
66;1;886
70;184;946
538;122;19
817;112;203
787;57;169
807;196;72
145;151;818
228;124;889
83;845;199
834;211;22
667;182;47
185;155;711
154;241;586
705;44;221
194;668;181
615;221;91
231;200;719
971;201;75
907;127;113
157;90;811
188;602;98
530;215;15
244;91;993
184;200;956
24;534;168
174;963;67
248;732;205
903;77;177
204;913;174
54;592;198
68;668;240
169;546;81
231;179;951
133;628;182
61;906;185
730;38;65
643;3;147
130;544;248
226;513;85
91;107;931
200;980;181
24;241;710
107;43;883
44;191;842
31;938;114
787;246;202
244;930;67
82;898;145
589;30;155
943;227;213
210;591;172
194;941;95
77;538;101
83;174;785
136;824;233
19;235;915
687;109;239
996;54;228
818;47;194
18;554;204
795;71;67
5;953;127
997;51;35
174;692;73
107;114;592
