1D;2D;3D
204;520;248
865;33;153
950;43;43
57;713;106
778;149;44
841;174;41
106;543;77
136;878;83
638;247;34
62;99;724
51;218;567
606;120;74
199;915;57
155;922;122
117;997;182
802;216;236
224;2;949
539;68;239
953;79;106
35;901;213
84;202;529
546;53;89
94;55;918
25;101;740
947;123;198
212;529;83
121;110;591
213;572;220
246;608;170
153;223;610
896;195;220
134;180;506
639;41;3
245;568;32
72;126;731
45;756;32
4;732;39
43;148;964
244;601;198
110;40;619
517;199;67
875;8;80
118;537;184
173;168;757
61;549;25
99;217;608
188;670;165
169;142;849
144;981;137
19;88;960
142;556;48
65;244;760
102;117;769
66;197;682
187;49;636
543;12;147
62;528;184
192;139;558
109;107;684
951;243;138
25;845;167
72;847;166
156;245;808
21;247;850
110;183;658
907;214;240
145;181;672
118;894;103
60;647;39
730;4;158
17;685;168
568;233;146
214;165;759
72;604;36
809;239;117
172;784;193
134;232;927
578;15;163
764;131;118
232;226;860
732;197;250
119;821;238
47;930;209
33;981;247
681;52;65
32;114;565
221;850;152
595;245;12
214;70;587
173;840;5
938;141;87
64;207;996
82;136;850
987;226;53
935;209;158
740;26;196
604;194;70
22;249;502
547;238;98
826;186;64
