1D;2D;3D
10;74;866
839;100;64
155;170;604
161;868;123
145;928;248
242;845;160
202;867;81
165;537;220
58;220;992
86;245;581
153;59;521
59;10;983
56;121;879
141;122;645
833;65;33
75;518;28
227;130;666
162;141;588
211;94;891
570;28;235
838;76;111
183;579;143
193;177;878
587;223;61
206;41;702
14;92;612
652;92;74
557;231;222
34;41;642
89;987;242
191;149;697
35;99;954
856;145;159
186;101;664
574;152;133
503;164;167
223;227;524
39;600;160
879;165;94
138;102;877
110;731;141
74;210;877
90;857;181
82;569;246
611;234;66
200;119;990
42;154;768
190;227;925
529;138;197
246;229;824
116;905;4
892;240;123
944;75;125
221;740;75
105;201;805
222;519;35
144;803;197
212;234;816
17;846;159
56;754;247
235;804;237
190;68;588
790;47;145
78;994;15
195;110;635
176;5;548
61;807;146
110;635;16
788;190;216
108;145;708
569;150;108
163;135;789
655;144;106
889;32;71
923;98;135
42;613;26
128;820;105
84;136;659
761;80;222
154;6;600
239;214;936
989;70;122
25;567;137
92;70;616
519;123;102
121;30;859
803;17;86
950;231;161
963;157;69
73;941;48
625;211;71
176;172;852
103;544;82
234;56;704
596;137;170
938;204;249
43;819;93
16;540;157
5;940;58
228;631;40
843;226;220
198;503;193
174;87;713
206;644;247
885;201;156
70;848;37
244;903;93
131;217;915
167;843;176
11;700;2
220;937;105
249;841;201
146;42;763
196;86;817
669;2;94
172;140;967
888;223;102
178;54;680
217;605;218
835;209;233
187;83;540
964;114;142
574;201;233
173;508;9
978;75;60
633;68;3
598;203;104
25;622;209
935;44;204
33;619;110
646;217;63
196;688;169
633;186;128
611;176;213
688;45;219
136;970;177
172;999;62
121;147;798
901;59;190
223;666;172
24;170;519
808;74;218
7;613;204
616;138;194
169;110;799
134;601;32
561;248;77
40;916;158
100;167;978
950;75;121
63;199;739
162;793;147
858;130;75
561;150;140
203;2;507
96;730;19
960;60;246
708;111;44
134;793;81
810;43;165
227;220;559
74;565;110
598;130;183
966;161;22
140;851;249
60;827;100
167;104;903
837;172;165
205;68;773
186;79;886
241;950;52
16;164;680
106;883;187
57;248;969
507;161;203
157;203;517
5;183;535
168;599;65
92;198;684
891;212;203
238;109;556
217;578;220
672;223;218
48;910;206
120;548;60
124;810;121
689;33;90
871;188;210
92;926;37
117;151;962
933;137;18
181;162;892
13;871;43
35;245;932
52;125;651
149;174;631
812;184;146
576;143;217
642;61;174
62;205;833
982;106;33
119;937;16
204;799;157
234;178;524
12;191;663
190;933;165
77;623;195
3;629;193
104;895;152
573;151;154
580;179;5
13;64;517
226;177;516
37;73;815
882;46;138
130;923;151
515;146;190
222;926;132
230;225;819
108;793;223
953;130;97
8;930;212
780;175;80
250;564;144
572;217;12
819;170;48
6;577;69
158;221;832
141;209;821
617;228;11
169;562;150
558;90;88
60;687;160
163;138;578
782;161;101
981;145;242
77;611;99
20;871;72
612;95;89
220;540;9
92;134;730
509;240;217
97;851;219
120;69;892
194;207;612
908;3;119
23;170;898
153;531;46
873;139;104
129;545;99
933;37;4
53;904;91
182;101;627
72;225;831
604;165;222
35;682;83
222;100;507
238;183;696
229;163;633
969;241;164
192;627;93
167;113;708
782;61;173
228;139;963
660;130;161
245;215;578
36;60;536
5;66;865
569;130;221
649;146;132
238;918;110
161;785;38
48;652;179
897;28;139
967;133;174
805;79;201
556;43;69
106;127;565
150;165;657
171;15;754
235;4;697
32;530;234
742;214;153
117;32;552
611;110;190
874;76;222
516;236;231
746;69;106
732;125;87
789;226;115
90;70;582
163;235;758
227;107;620
568;229;65
173;749;205
244;52;740
101;118;762
57;888;173
145;226;703
757;180;8
599;180;146
3;520;61
79;586;21
96;184;548
134;805;91
14;199;910
35;670;136
903;50;99
817;182;153
128;95;655
557;3;91
973;192;121
881;184;200
546;87;244
218;112;651
29;83;743
603;128;127
761;64;54
112;735;1
95;108;975
151;505;34
162;176;764
20;779;194
83;506;154
176;150;931
579;96;178
568;123;85
591;45;146
801;82;96
721;106;193
558;158;32
223;685;138
955;72;68
693;12;102
141;590;3
134;698;97
1;731;167
69;593;149
119;51;752
63;617;57
196;577;194
925;25;89
196;891;231
117;961;187
239;684;11
62;850;31
235;168;642
45;152;901
509;53;6
91;672;63
933;66;142
44;582;154
32;212;534
213;890;37
189;8;542
95;864;237
84;869;183
48;17;757
618;178;175
161;62;956
27;985;27
3;970;93
125;116;988
647;56;120
216;881;32
212;239;801
182;181;676
655;202;226
52;44;643
960;72;57
878;189;165
787;171;248
250;70;975
221;250;726
196;93;650
38;5;786
96;734;33
196;157;562
207;709;140
169;822;14
192;573;86
137;794;156
178;843;142
163;99;528
193;700;241
72;721;20
240;49;953
139;600;102
720;189;53
678;177;28
6;842;95
78;973;2
184;11;951
58;744;46
187;243;895
953;223;166
124;113;735
211;751;249
701;133;178
71;143;718
901;249;242
8;510;58
7;570;109
230;193;831
54;955;207
837;179;128
241;675;87
962;121;2
209;124;678
147;207;604
134;864;237
734;55;93
548;11;247
85;688;45
118;45;856
698;109;78
670;121;87
965;199;224
79;243;965
12;35;619
15;750;165
14;658;5
36;689;236
218;248;818
208;69;749
942;160;98
217;570;27
202;108;555
18;659;104
945;235;174
201;828;124
956;175;203
875;54;95
829;192;137
44;68;561
93;162;510
557;194;177
92;808;155
22;143;787
948;48;88
111;813;188
63;767;84
157;110;538
766;41;41
797;83;162
32;42;865
175;940;97
197;202;991
707;85;79
225;230;873
72;230;932
182;120;771
215;47;865
25;687;230
87;235;838
234;690;28
238;722;53
133;4;736
146;15;774
227;625;82
87;108;950
624;85;220
82;963;83
897;63;182
102;102;768
715;235;198
883;138;130
23;827;177
151;146;664
1;67;527
207;230;901
86;665;152
123;800;240
769;48;141
170;103;867
126;800;174
60;29;668
28;199;558
68;942;56
914;226;17
186;112;796
25;9;868
88;31;749
169;624;129
864;127;188
915;115;56
695;45;20
125;931;174
231;11;598
109;61;646
658;91;63
988;227;120
575;114;2
662;155;213
8;581;3
15;110;871
658;218;239
176;561;43
137;642;224
151;897;246
