1D;2D;3D
808;54;99
22;703;212
825;228;201
250;50;657
93;694;105
868;68;55
221;235;910
45;891;100
216;827;147
205;138;838
182;647;38
242;738;70
940;249;16
95;804;182
973;150;176
138;616;118
39;792;10
77;122;926
103;815;71
952;243;111
698;157;236
697;43;226
14;229;632
143;877;179
49;151;646
233;89;629
172;103;688
164;92;813
163;787;132
171;693;250
140;223;707
135;20;924
189;961;200
567;229;232
815;103;164
210;126;806
657;179;50
830;124;233
217;572;91
796;12;223
88;51;980
65;999;203
152;4;919
4;156;746
804;86;230
82;137;753
1;717;224
793;7;241
625;71;141
873;172;125
796;64;145
178;776;94
177;561;159
153;68;689
149;633;48
918;46;34
622;10;207
76;244;604
1;781;147
75;620;33
165;645;27
68;233;512
658;100;227
202;829;14
6;26;502
574;8;78
142;232;947
694;158;28
81;864;17
802;141;65
601;4;211
207;908;172
621;59;29
2;221;601
607;57;40
237;126;712
119;545;176
22;626;60
575;232;4
69;644;49
53;211;768
114;35;519
122;102;670
201;945;51
577;21;139
846;40;221
814;223;211
766;169;128
179;738;131
61;196;532
124;500;74
991;154;152
846;224;117
227;97;742
182;250;655
904;94;218
529;80;193
185;987;187
957;249;219
245;197;859
941;48;49
150;787;196
62;104;608
690;113;225
78;158;840
213;188;693
551;68;39
133;729;42
98;110;768
101;967;223
986;198;15
579;45;48
25;544;208
39;6;838
668;45;245
158;58;887
136;32;970
70;580;28
2;104;791
852;31;107
242;813;187
112;86;555
135;943;175
113;46;613
862;76;9
143;628;61
690;123;73
94;137;897
245;84;715
135;768;89
108;719;8
246;626;28
14;96;748
186;186;658
147;63;919
823;157;40
123;24;784
129;143;807
195;33;807
105;6;970
69;756;100
602;121;93
55;173;554
26;644;72
596;194;215
225;586;231
226;926;112
87;186;667
237;990;86
228;43;979
228;776;164
236;54;778
12;699;146
53;55;846
966;124;69
35;181;951
151;110;622
716;24;228
142;835;14
850;14;187
150;43;684
171;110;705
217;560;3
719;94;81
707;222;213
132;37;964
980;169;98
145;244;690
32;959;55
930;193;65
761;56;26
75;675;58
230;236;955
25;544;155
48;785;87
51;808;111
652;85;99
629;39;221
110;651;199
569;128;160
739;73;96
928;221;42
224;241;862
620;239;31
128;143;665
862;233;124
214;124;973
32;227;960
23;124;896
193;197;715
164;37;631
181;870;234
150;104;768
17;976;45
1;577;242
590;118;224
910;129;96
926;236;172
189;893;240
5;92;595
177;502;128
951;66;220
49;773;153
72;36;802
40;896;186
218;109;620
744;216;68
10;717;96
24;80;945
975;26;158
242;741;98
73;980;1
202;626;199
555;8;82
163;112;928
590;57;2
118;174;603
1;209;747
964;235;134
717;42;196
178;176;641
116;775;13
50;161;633
32;874;180
157;621;65
77;646;206
64;14;851
774;144;226
63;114;873
555;250;100
818;195;219
22;710;104
973;219;231
25;975;156
29;242;952
113;8;598
10;175;896
591;33;3
60;795;198
93;585;172
841;21;139
630;125;4
92;785;8
101;583;119
244;760;50
186;227;780
96;27;776
554;172;49
221;907;49
215;689;151
648;142;135
796;203;150
51;154;603
140;612;237
225;190;762
191;581;124
57;240;907
817;184;85
210;140;877
193;250;739
766;153;240
56;791;225
137;887;111
4;730;176
805;53;205
163;175;641
241;152;967
152;9;608
19;783;161
15;128;830
906;123;50
124;539;244
129;35;518
69;133;770
209;13;599
178;247;979
8;102;701
241;576;156
208;118;594
197;97;588
990;117;8
34;155;846
122;894;250
25;800;35
239;882;128
862;91;89
38;951;66
37;995;202
572;217;196
570;16;51
812;23;114
82;194;693
584;161;193
634;10;88
539;100;85
694;203;175
179;235;754
982;189;189
3;930;159
988;166;103
934;163;106
85;74;532
939;222;73
92;228;659
117;173;706
83;855;239
573;176;208
199;241;840
790;133;233
683;202;149
202;46;796
982;115;88
49;222;938
153;25;837
891;202;10
29;971;89
95;18;926
190;963;55
832;91;234
925;58;92
77;676;29
127;614;79
639;67;63
812;75;245
929;136;210
124;73;968
162;984;117
851;147;75
147;159;955
991;64;206
122;223;858
140;91;597
132;81;523
109;745;41
209;146;940
71;591;72
242;678;151
513;143;32
220;175;562
699;138;72
191;69;961
655;165;18
61;121;827
877;209;36
53;16;973
41;795;192
66;97;814
24;47;539
129;678;139
101;228;835
696;162;41
54;8;809
106;838;62
228;513;209
131;604;137
154;211;775
765;20;75
75;695;43
136;865;160
855;65;38
125;231;591
105;627;215
141;53;743
99;215;602
