1D;2D
207;338
395;258
377;116
271;111
100;176
224;323
238;347
364;104
112;315
212;244
108;304
191;250
187;280
246;102
390;273
181;304
182;210
140;138
398;316
236;196
382;381
260;265
160;250
103;367
285;202
104;325
288;191
181;128
152;329
149;280
168;262
184;289
326;260
383;206
162;316
303;197
225;185
281;289
243;261
299;193
388;106
106;349
227;160
354;203
170;316
149;268
346;136
378;198
368;249
161;212
242;237
183;301
123;334
344;365
141;313
310;171
299;391
380;233
272;212
324;312
377;259
195;399
242;282
140;121
112;303
386;352
142;367
153;342
291;344
351;252
344;335
240;369
283;358
163;343
212;171
136;291
284;315
118;265
329;379
310;296
126;225
303;300
164;369
105;175
237;391
381;277
191;327
339;245
115;397
330;285
356;225
369;162
400;285
179;234
387;115
297;250
249;357
201;314
247;185
350;267
