1D;2D
184;219
363;287
132;334
228;392
271;374
310;158
146;354
373;323
250;312
227;117
111;104
374;275
171;201
374;178
337;157
383;154
257;142
310;351
397;312
317;392
142;325
357;166
280;186
104;300
260;242
335;231
134;223
248;354
382;302
320;335
355;386
338;119
109;397
159;354
106;260
227;152
211;329
190;117
175;365
145;344
224;366
151;339
232;284
131;221
271;388
343;340
106;201
374;217
167;258
400;306
257;137
255;355
105;221
345;225
257;384
149;345
208;224
271;279
317;163
185;146
142;331
157;324
346;351
256;374
193;136
341;181
145;243
202;148
231;262
129;300
310;104
395;236
191;262
154;122
185;138
177;394
121;340
140;328
221;149
191;374
228;244
186;297
104;234
192;125
125;260
251;296
201;145
206;125
232;117
201;223
183;228
130;190
208;205
385;196
254;166
343;367
198;399
321;346
368;397
346;307
267;110
382;174
297;223
386;100
380;360
113;332
223;282
344;156
302;215
100;200
270;134
284;242
288;154
265;372
160;122
124;107
280;277
168;118
251;314
377;107
338;190
227;361
280;331
344;263
285;245
317;278
378;198
397;252
234;104
155;187
148;320
275;355
317;341
107;218
312;134
271;317
135;206
316;315
196;351
374;377
182;347
233;118
257;169
396;283
386;193
170;144
283;384
363;179
325;237
216;260
131;391
292;136
267;123
303;384
287;105
116;366
282;320
386;185
332;141
280;318
208;368
155;353
138;296
279;139
330;232
196;129
200;224
270;273
125;256
236;268
367;307
306;322
202;139
339;140
342;277
288;329
221;182
369;326
288;300
350;113
305;115
349;252
316;345
275;245
386;348
258;384
277;323
121;120
175;160
255;329
350;270
207;221
244;364
128;385
112;205
116;320
296;140
346;270
237;152
393;167
159;306
251;249
152;196
354;330
238;208
265;274
348;277
262;117
365;117
161;298
320;156
232;167
244;367
115;156
231;129
159;170
353;245
347;162
125;367
134;145
312;209
289;359
235;284
396;221
149;154
281;278
220;357
234;103
341;147
400;281
180;376
327;148
158;353
135;388
131;248
150;351
162;384
155;152
142;153
232;150
345;132
243;127
180;300
326;262
170;187
104;155
328;237
335;389
269;344
194;388
109;263
313;305
263;227
187;396
244;238
132;258
293;269
220;218
254;131
109;387
126;299
344;203
188;199
298;232
167;325
114;359
339;114
324;124
115;385
240;133
356;182
140;100
264;339
277;385
218;260
120;252
345;213
192;301
391;230
337;252
193;267
191;174
220;139
273;270
305;340
196;263
233;146
189;253
302;394
161;248
364;114
135;255
153;113
136;339
313;183
175;357
183;346
316;350
367;287
314;245
332;364
174;231
177;348
332;155
307;285
224;152
218;231
349;310
153;218
322;396
136;307
225;120
317;145
139;320
166;138
400;367
272;332
106;310
371;274
261;196
224;226
272;275
254;274
365;111
152;297
347;103
277;164
318;206
176;258
201;168
360;177
247;103
179;149
214;204
251;189
193;223
377;306
141;170
267;151
115;351
186;215
352;254
209;281
344;311
396;221
398;200
134;210
283;354
227;278
173;244
335;144
376;332
254;355
333;363
268;100
220;333
180;205
111;385
188;370
259;257
342;119
277;377
114;112
310;127
391;136
322;232
385;137
279;136
186;158
176;281
192;253
149;128
194;151
396;368
390;366
242;346
238;254
222;375
194;389
346;234
265;365
350;103
318;261
311;355
139;125
233;116
338;324
209;122
231;271
237;234
208;262
265;386
260;224
267;162
374;158
202;202
358;207
336;327
115;139
220;268
274;326
318;325
255;344
158;141
143;285
284;103
346;224
348;131
265;324
394;308
218;348
108;113
160;384
268;380
220;248
131;121
309;243
332;246
183;168
256;119
232;242
220;158
254;379
279;394
291;133
367;239
207;321
358;331
334;308
127;354
332;329
322;346
341;169
395;390
128;353
151;111
389;287
392;133
188;347
128;248
176;320
109;237
290;190
320;223
133;191
104;380
210;332
352;185
207;335
185;365
222;395
221;248
111;369
256;129
256;154
128;218
127;257
126;173
171;330
301;355
275;341
163;356
172;269
192;218
195;296
386;176
181;324
119;144
347;368
128;372
302;259
379;251
286;303
221;343
122;119
307;223
136;378
123;163
341;333
176;173
136;378
333;112
253;262
239;218
172;174
203;400
158;101
207;256
230;270
190;138
246;197
260;224
385;246
390;345
114;288
271;249
190;211
139;238
153;381
140;252
