1D;2D
230;164
337;183
186;179
164;286
172;247
171;101
313;279
226;202
398;261
154;331
192;300
327;303
397;114
153;347
376;219
267;167
129;328
258;388
133;188
305;200
331;183
284;341
251;274
320;206
176;110
384;398
205;138
393;280
208;181
281;154
291;380
199;356
232;336
381;217
289;292
318;331
125;321
207;351
354;352
341;254
114;353
277;231
226;270
325;290
193;212
132;226
229;285
313;115
389;237
119;271
286;357
194;214
293;376
179;164
313;240
233;368
268;168
152;120
267;174
128;357
340;252
225;384
117;364
148;343
229;118
131;101
155;170
319;278
289;224
307;315
267;252
330;284
179;179
272;162
213;151
220;310
252;135
287;159
302;316
378;140
328;214
105;115
240;400
234;118
154;282
167;310
221;275
333;287
137;292
259;184
228;349
217;398
101;105
169;102
310;364
139;249
159;138
286;108
140;240
200;153
278;375
353;239
258;231
261;192
278;308
140;100
281;342
357;179
213;223
141;372
342;227
163;378
372;126
188;279
266;146
160;307
276;226
117;199
177;361
137;141
194;350
118;300
284;161
191;211
166;247
331;338
237;103
336;377
357;172
110;188
139;381
147;353
176;301
150;376
128;364
229;264
261;106
205;138
307;369
320;381
216;323
241;163
330;375
184;220
371;108
394;201
274;282
290;374
136;337
247;296
354;130
121;237
172;218
350;289
230;319
248;124
144;378
188;178
116;319
175;376
389;271
271;309
254;293
260;259
106;197
211;339
236;164
365;376
278;269
113;223
120;200
150;201
230;309
257;156
248;180
186;193
202;375
317;263
243;321
227;103
129;232
189;325
122;327
205;338
143;187
390;235
300;155
115;176
219;305
176;116
261;317
109;351
354;259
344;253
135;160
301;107
133;320
242;258
190;212
210;244
220;375
322;395
328;183
297;149
268;340
259;231
213;107
355;287
296;228
218;210
205;257
117;281
185;291
341;243
356;239
361;175
143;320
111;382
308;103
111;338
108;336
237;359
293;325
284;139
121;387
377;259
323;171
229;284
100;178
111;185
322;281
178;287
245;314
175;354
237;231
308;120
133;141
315;341
278;169
203;145
191;375
329;270
286;335
218;332
192;162
149;304
184;374
298;256
387;321
148;384
255;176
191;250
267;316
186;248
228;289
356;380
232;284
365;340
125;394
144;112
106;382
326;286
289;193
211;257
177;207
196;335
193;300
384;263
265;277
279;190
327;313
331;131
305;238
216;210
154;124
308;281
143;143
354;280
371;196
270;119
129;387
375;214
396;145
333;197
243;397
111;103
234;106
375;319
261;142
139;239
311;130
330;106
217;191
145;298
327;126
390;103
193;163
156;364
368;355
382;261
232;400
182;291
300;247
267;268
151;177
279;241
155;266
139;213
354;125
162;277
397;293
267;304
342;111
153;324
257;135
283;101
343;338
385;362
179;228
315;257
270;140
232;274
180;181
215;306
123;278
289;112
269;345
283;255
129;383
270;203
110;129
331;122
108;346
172;316
310;315
245;203
249;282
220;384
290;383
221;284
320;359
140;309
356;195
258;299
349;243
138;192
344;333
206;392
179;169
105;286
251;366
203;291
362;348
212;363
246;205
110;195
169;381
185;311
110;223
308;263
207;279
123;215
112;367
400;399
239;295
334;348
337;289
371;144
389;176
346;281
142;364
278;285
180;288
183;192
269;172
370;105
100;351
201;365
145;344
271;172
355;132
192;285
190;399
262;105
142;374
323;189
383;231
242;178
226;147
285;250
305;236
238;127
254;247
235;377
226;243
226;279
150;130
397;296
341;117
242;378
147;206
101;124
135;122
301;377
300;269
304;308
190;358
139;336
146;293
245;393
298;323
250;360
278;346
237;365
314;329
229;331
296;114
234;261
350;249
107;165
356;311
176;170
328;395
258;358
145;332
237;183
337;161
231;347
226;250
319;173
207;218
349;286
280;272
384;207
341;358
269;361
109;204
171;362
177;281
313;175
134;165
171;390
285;108
173;120
327;386
190;376
336;375
244;126
195;399
261;131
281;389
179;188
283;157
385;398
180;367
194;338
250;379
300;218
327;115
396;140
167;252
356;172
376;297
332;204
233;272
112;311
245;352
217;257
193;301
106;159
120;240
324;326
273;138
388;313
273;180
125;337
148;148
236;237
259;157
101;265
169;370
365;318
348;164
370;252
260;271
385;298
106;130
221;126
384;373
248;103
106;215
352;384
207;293
125;385
283;232
364;300
281;373
144;373
329;336
311;267
230;150
242;141
271;128
242;192
394;100
171;276
197;258
154;368
380;121
128;102
375;316
216;333
209;127
149;130
238;162
334;392
135;151
366;182
157;139
385;121
376;368
193;144
243;152
152;138
156;356
130;287
203;381
172;288
300;228
190;281
253;103
128;129
262;267
383;393
170;143
344;357
357;330
103;130
223;305
252;149
217;245
212;312
316;111
263;144
376;187
171;112
214;211
100;307
130;359
171;359
369;145
247;102
194;180
191;295
228;336
279;337
204;339
241;101
351;349
345;250
142;136
376;211
342;384
245;263
313;398
114;124
143;306
279;183
328;399
315;101
169;173
244;238
271;291
381;253
363;223
319;134
230;273
171;202
149;222
342;392
155;139
134;285
142;196
350;191
255;161
157;249
360;328
114;263
326;341
132;261
195;392
291;118
348;191
261;353
145;318
350;104
214;371
385;196
381;276
396;144
159;180
390;114
187;290
202;278
337;334
351;178
223;257
360;400
269;118
224;347
301;167
130;131
392;339
345;399
174;210
315;126
332;379
171;323
256;274
232;292
190;300
240;245
203;400
295;198
213;205
139;219
109;263
352;371
399;117
338;381
119;350
400;219
136;113
384;353
220;399
226;146
350;121
388;378
103;149
129;296
370;326
304;342
154;237
210;344
106;356
343;164
222;176
252;127
376;366
132;119
379;204
362;240
358;247
338;380
207;192
275;331
178;347
228;205
114;312
378;115
396;208
371;278
186;157
247;285
182;167
381;347
397;317
313;320
339;371
369;215
274;324
353;204
397;287
151;285
143;234
296;266
231;149
188;296
313;323
256;114
386;209
144;386
350;199
173;364
341;275
337;108
278;113
209;126
128;265
137;328
253;248
258;288
212;160
197;318
219;297
325;319
239;217
209;344
393;179
365;322
234;129
228;124
324;400
303;279
292;265
163;144
296;388
309;299
116;132
237;261
159;311
246;259
316;387
286;190
204;156
388;383
296;130
187;260
131;294
345;258
168;141
135;217
168;192
212;321
159;394
242;128
