1D;2D
257;193
169;327
327;100
245;144
380;231
278;136
109;338
135;368
356;229
203;199
280;279
258;139
396;242
187;127
141;144
356;310
148;167
184;122
161;216
316;256
302;377
135;208
347;288
307;195
101;230
366;375
205;158
394;171
268;211
308;294
389;354
251;378
179;159
176;307
229;339
378;279
373;351
272;159
100;151
354;317
306;351
142;248
334;365
288;353
263;230
171;379
352;176
107;145
388;358
231;232
294;146
233;257
228;194
110;306
379;367
254;219
380;134
385;214
201;121
190;211
187;212
116;261
242;165
252;289
212;241
141;164
176;370
155;140
371;107
346;314
142;229
233;300
336;297
170;194
283;373
216;107
336;238
255;140
358;234
100;256
220;386
142;230
150;162
230;354
182;143
139;188
107;117
340;326
152;225
277;342
248;387
399;116
340;121
344;233
299;307
233;204
108;146
282;338
245;369
179;265
