1D;2D
238;288
304;387
153;114
165;355
164;192
365;335
226;241
340;118
387;274
387;263
293;272
165;195
322;199
392;191
163;157
269;179
341;173
250;195
126;391
367;171
147;176
381;371
200;332
236;197
162;385
320;114
238;112
138;184
134;168
183;330
196;143
316;105
346;177
203;324
371;237
153;149
376;359
265;174
204;235
140;123
246;214
159;183
345;206
103;142
291;166
264;267
242;283
284;236
131;228
169;220
247;397
246;284
369;185
347;122
143;143
331;120
367;191
100;172
291;107
148;283
281;369
235;383
137;382
117;164
177;111
352;272
210;308
282;312
137;344
157;144
224;115
350;320
233;276
268;172
170;233
385;291
171;107
400;305
359;285
318;234
285;243
374;370
202;313
224;296
206;139
317;382
369;337
376;388
297;214
114;310
169;292
277;294
363;304
278;200
210;238
140;342
273;296
314;148
352;355
399;376
205;352
152;363
356;375
362;131
395;121
361;333
155;210
294;276
214;296
289;121
248;123
172;161
162;375
216;317
202;124
373;367
314;259
386;385
367;359
160;165
172;293
168;142
194;289
369;208
330;132
186;169
177;229
299;201
155;334
235;256
170;213
146;353
141;111
273;217
179;282
323;215
399;199
237;340
110;267
211;333
134;373
350;190
301;188
308;380
230;381
348;105
342;236
216;134
302;146
218;299
321;355
226;185
297;278
389;204
366;270
183;219
101;215
373;146
297;128
296;117
181;115
321;238
155;344
317;262
337;172
113;237
347;177
313;145
127;261
137;318
263;107
101;356
272;162
281;209
224;362
315;184
283;122
166;344
145;105
268;173
343;204
244;316
244;233
149;354
343;282
145;300
186;243
283;226
385;256
128;304
146;283
264;388
147;315
192;224
153;256
191;137
313;128
381;353
215;240
341;162
108;160
332;337
353;114
334;296
344;105
386;370
335;270
340;238
367;382
296;302
337;256
347;154
109;395
179;298
228;226
274;233
200;106
198;348
100;124
383;201
237;257
367;218
382;130
251;385
117;147
187;111
136;316
338;355
349;128
367;176
278;205
198;237
384;295
167;384
348;199
362;225
336;156
311;115
211;325
284;159
212;268
310;173
262;274
265;153
310;309
285;187
213;266
370;185
227;229
105;265
242;388
203;329
239;287
239;211
119;260
115;325
175;347
356;366
173;170
311;138
337;290
130;117
278;380
264;251
268;363
240;118
210;182
309;240
312;309
261;130
104;126
249;134
321;251
249;265
254;319
274;383
263;109
377;331
307;224
143;103
231;210
331;315
128;164
222;133
343;295
380;198
129;219
384;335
218;104
187;155
253;233
180;170
122;293
225;314
182;287
161;152
198;380
365;203
121;316
293;257
274;383
269;158
285;345
200;189
130;233
301;147
164;317
204;102
260;178
119;341
140;246
167;305
114;369
348;112
317;192
266;192
324;171
366;283
214;197
140;390
307;262
239;188
241;327
165;281
148;226
141;391
241;389
363;252
129;323
300;381
232;334
279;291
308;281
192;285
316;192
132;273
309;180
298;260
260;230
313;363
383;171
375;376
149;243
100;282
132;359
291;264
302;127
167;330
205;319
249;374
367;310
231;347
378;145
145;258
328;152
233;274
389;192
203;344
268;140
372;369
389;374
218;126
131;118
372;256
285;389
331;194
117;258
373;333
188;370
302;220
188;315
324;208
343;266
191;190
155;123
266;248
173;396
339;330
374;347
330;242
106;330
224;358
144;103
164;305
321;363
185;181
264;368
304;221
223;199
155;257
173;394
104;328
363;317
290;293
