1D;2D;3D
278;816;140
297;783;6
816;109;721
547;62;981
396;242;204
705;763;424
972;566;340
184;443;344
480;486;587
517;244;675
426;656;752
730;78;318
504;998;714
973;789;216
96;828;390
853;914;437
758;112;214
816;128;260
360;177;504
864;375;927
621;737;466
275;148;314
231;322;367
439;248;694
531;140;11
105;318;451
848;770;88
931;198;259
746;404;206
493;943;661
484;771;190
322;131;11
124;665;476
194;998;261
74;491;159
177;614;896
602;637;822
453;742;956
200;983;571
314;611;754
819;330;777
790;847;324
413;864;591
434;319;592
980;849;949
479;462;911
800;585;65
894;270;186
462;205;772
725;909;424
564;80;691
337;12;100
71;990;394
430;978;478
474;132;713
752;239;539
413;576;600
707;8;26
188;507;153
669;679;625
758;917;754
677;692;97
244;563;423
533;863;217
261;287;636
629;922;546
473;993;863
474;372;686
594;440;95
914;394;615
349;811;687
891;419;231
826;208;273
376;980;877
184;161;84
122;123;134
863;230;52
512;820;672
872;125;466
381;688;754
792;816;930
144;852;669
500;927;70
176;196;924
48;109;230
540;210;995
810;156;222
681;26;916
808;585;798
16;8;197
777;544;965
333;362;38
504;871;523
729;736;595
783;612;299
207;485;160
872;111;150
482;58;161
880;788;588
627;590;850
787;187;336
587;334;81
745;146;502
674;432;173
112;517;587
456;721;55
839;867;44
412;188;784
587;93;854
141;569;99
112;2;193
410;595;306
357;869;381
302;331;549
935;593;448
307;956;807
835;350;561
33;553;565
884;969;489
226;616;536
999;783;964
205;722;829
44;740;556
26;564;137
130;137;538
208;591;330
922;284;919
78;750;495
800;161;973
203;48;639
991;16;288
260;760;639
636;735;350
338;264;740
257;519;572
338;198;771
333;567;839
643;442;93
426;696;544
748;384;993
499;698;776
243;482;123
81;649;832
44;83;864
437;144;519
118;520;102
766;268;162
718;754;804
438;477;317
200;700;257
822;369;880
174;416;420
102;324;295
846;799;70
569;209;802
136;558;76
84;154;722
366;311;749
6;544;357
340;709;371
31;33;118
960;290;606
400;43;357
340;524;657
213;821;53
499;962;889
189;982;145
669;972;579
777;702;320
767;213;831
925;816;882
241;489;846
76;195;948
234;741;811
231;719;253
889;143;444
96;933;942
527;168;235
820;798;682
224;265;28
496;3;529
216;449;182
266;826;229
174;636;543
405;46;66
271;311;586
346;115;70
890;859;769
787;843;463
447;495;607
983;925;86
42;260;416
843;134;428
525;741;210
51;690;504
595;923;920
477;180;128
826;904;635
831;290;408
296;354;508
811;375;111
192;529;865
987;935;893
860;490;927
76;901;872
814;622;420
964;423;614
328;380;655
916;371;172
764;102;739
709;606;802
286;864;529
268;548;765
121;935;106
713;339;500
424;231;900
755;294;225
703;791;416
562;21;445
548;819;639
76;787;485
711;624;641
245;553;198
144;274;94
379;404;857
572;6;292
869;998;836
253;971;179
938;827;782
566;689;603
366;512;370
800;370;483
524;507;173
