1D;2D;3D
62;5;561
770;696;735
657;954;102
683;186;491
209;582;461
317;671;17
362;870;68
627;931;827
860;735;730
360;226;576
236;973;122
979;71;994
603;405;152
863;558;410
905;914;155
531;267;862
866;4;510
498;266;693
730;392;98
748;800;174
877;313;394
381;419;591
824;22;123
7;830;135
427;841;850
549;763;987
411;700;633
115;40;961
661;427;791
904;980;108
820;119;434
499;396;313
543;361;147
196;674;262
652;753;167
760;536;95
931;470;858
564;567;759
361;854;554
18;985;209
118;897;969
741;564;932
420;69;787
469;798;271
151;93;411
598;693;175
36;713;344
329;999;301
435;696;841
211;6;371
822;828;539
348;976;917
18;835;567
829;572;525
909;197;224
24;897;87
198;785;568
58;488;318
71;870;535
648;38;445
614;688;42
946;660;661
330;864;461
721;401;254
843;776;854
178;963;58
210;78;257
904;683;432
765;183;167
159;541;418
28;882;426
64;936;806
492;414;7
167;60;563
304;708;957
609;213;351
6;557;537
645;763;165
277;529;747
358;404;72
751;168;962
877;241;23
114;807;446
765;425;780
563;249;300
761;727;959
514;390;236
777;969;344
660;826;205
975;87;471
181;200;678
232;643;322
713;655;186
779;896;766
29;186;898
291;982;776
693;778;822
561;198;792
125;467;831
519;292;462
925;243;973
768;213;899
688;16;360
91;778;281
59;499;383
339;887;244
278;738;276
619;604;72
797;549;220
21;718;279
31;468;382
487;364;337
718;920;40
400;154;351
237;868;468
697;336;609
813;476;804
160;262;598
120;352;287
783;68;497
413;553;776
856;471;143
636;685;482
897;862;72
140;563;134
973;605;320
823;164;794
954;266;482
354;377;203
265;691;926
627;422;44
742;816;556
927;415;47
340;812;888
958;25;335
908;214;171
277;465;848
102;157;733
989;370;152
353;661;901
919;698;453
869;276;418
622;205;373
215;432;169
486;565;305
684;606;928
438;132;703
953;298;16
370;959;189
302;181;685
186;483;834
85;117;826
802;391;744
793;52;630
678;300;455
581;605;923
93;687;753
540;127;546
940;105;272
569;28;829
20;830;745
387;592;163
918;836;256
665;967;790
772;979;949
278;276;806
93;786;150
717;49;566
571;765;329
500;881;609
69;416;623
247;409;64
493;674;376
238;862;29
422;275;491
681;104;81
122;326;225
323;530;95
600;863;455
169;190;365
154;45;395
304;212;174
373;237;768
728;828;746
235;808;772
118;981;682
71;473;36
691;101;283
583;685;888
542;941;868
905;477;526
477;610;763
489;973;432
541;853;236
21;606;906
418;782;283
