1D;2D
902;158
757;54
111;955
181;698
710;190
820;109
567;140
53;950
544;101
761;24
901;200
523;9
873;53
226;801
17;538
58;572
69;952
563;38
573;2
60;654
236;665
922;141
237;736
625;240
152;666
224;717
760;221
910;117
666;207
131;752
113;501
790;41
551;5
517;57
776;30
984;105
711;96
597;162
17;674
626;154
230;773
55;727
674;104
509;210
100;971
616;5
916;46
38;979
79;958
131;526
986;153
630;30
25;705
172;699
49;969
641;141
850;217
107;681
97;765
89;715
721;65
908;155
727;54
714;136
227;623
49;935
163;915
144;679
619;76
840;156
166;742
62;986
560;123
70;528
513;237
645;35
615;66
109;742
121;590
539;233
248;696
833;100
540;100
678;243
916;109
64;803
249;726
177;858
969;229
242;882
635;37
633;192
890;149
23;582
34;931
523;191
548;49
899;137
952;224
69;565
902;106
118;677
191;514
643;4
160;984
119;884
905;165
776;94
36;866
740;75
784;9
878;164
161;999
176;594
950;78
699;62
144;956
851;95
664;97
701;193
981;27
62;612
861;233
586;106
867;83
37;782
97;515
945;197
782;137
21;989
182;939
727;172
605;103
158;661
925;82
26;891
549;66
116;706
867;107
45;862
891;51
212;816
93;999
22;609
1;941
994;213
991;132
889;181
46;509
785;28
528;229
245;791
58;782
726;10
783;108
75;660
631;230
232;609
982;67
127;752
130;796
885;80
135;950
238;830
166;885
18;804
159;875
950;82
776;27
601;148
57;541
173;544
835;131
650;25
230;874
81;694
887;140
218;856
753;176
193;594
204;681
7;538
509;180
167;627
717;51
238;609
77;657
4;618
121;885
151;915
30;807
149;987
126;579
204;978
904;6
676;78
144;849
1;573
21;925
849;5
188;869
801;209
575;217
923;195
598;103
586;20
46;914
231;906
9;528
81;912
704;1
946;113
65;538
680;222
114;646
770;61
701;74
143;533
502;249
249;750
586;150
71;502
895;229
906;97
836;65
725;117
174;594
668;245
219;564
172;811
517;141
68;646
78;683
687;126
994;193
204;749
197;809
157;517
109;890
966;146
925;17
98;821
880;24
127;600
43;991
101;857
208;865
5;768
122;891
22;788
698;147
640;230
231;565
793;13
57;623
826;213
937;86
658;77
239;861
33;838
30;833
950;173
912;205
61;580
234;590
80;956
626;205
650;64
229;827
79;833
144;666
619;192
627;142
174;874
250;547
922;170
933;31
937;157
143;805
910;109
174;937
35;808
26;509
241;790
142;632
131;525
63;939
704;175
215;894
705;103
97;938
807;15
79;764
977;30
625;195
544;159
78;763
784;152
2;666
99;743
935;194
501;177
42;810
669;107
531;212
126;894
924;217
705;168
627;36
807;106
167;911
214;987
823;206
936;104
635;96
992;40
557;42
725;102
961;29
164;601
688;74
130;687
918;246
678;168
579;196
791;142
210;949
177;920
925;140
876;27
641;29
3;936
739;5
944;205
78;751
801;206
175;891
563;112
970;205
907;161
104;677
623;70
959;215
162;821
181;790
102;912
176;951
174;920
937;7
784;94
115;657
730;7
42;555
7;812
983;225
884;204
833;74
914;126
166;806
625;61
665;14
67;612
46;836
982;26
22;874
721;103
828;63
