1D;2D
912;192
839;5
147;582
162;981
151;912
994;28
28;773
19;978
49;508
28;786
20;731
58;992
527;2
132;609
1;610
762;17
2;661
161;857
50;680
678;235
644;84
212;953
512;40
186;942
35;898
941;92
94;509
137;797
116;694
945;3
693;5
624;59
812;142
554;74
806;8
787;205
100;595
588;76
246;628
605;55
728;93
728;162
554;165
102;646
60;969
795;191
7;899
143;689
675;32
640;15
204;602
172;552
190;591
10;599
538;74
610;46
690;2
139;817
840;125
151;569
79;602
512;198
23;574
199;908
184;943
575;203
807;155
96;693
62;800
829;79
781;137
945;136
615;146
158;955
609;221
545;190
613;48
748;29
510;20
681;54
58;545
5;875
170;785
713;192
98;719
170;506
890;111
848;107
159;831
777;189
207;643
629;161
799;48
800;41
724;89
65;856
635;135
122;872
191;919
231;834
