1D;2D;3D;4D
288;190;276;109
297;327;98;69
92;346;336;162
108;91;340;279
948;622;765;705
286;81;113;181
73;293;245;170
79;293;245;261
312;121;299;322
160;234;196;53
676;678;815;570
302;163;237;164
764;670;815;895
177;193;107;107
161;244;95;243
51;250;105;210
123;213;110;302
249;238;305;178
181;195;267;298
164;89;336;262
304;188;188;258
249;214;329;110
580;910;691;765
292;214;268;276
221;255;256;159
852;618;569;850
240;198;162;145
753;647;849;874
279;347;175;90
282;76;158;234
679;566;568;634
119;244;240;198
103;98;181;72
229;77;165;329
53;146;157;261
815;761;697;705
53;191;164;115
96;105;319;161
155;67;346;184
946;862;887;770
316;57;164;272
291;194;347;198
179;66;288;175
214;207;322;263
233;265;78;168
166;164;241;251
245;298;99;316
222;83;282;97
305;146;172;212
161;285;109;201
263;67;297;207
341;218;318;106
233;100;287;141
245;247;297;348
284;158;167;124
616;552;880;846
874;882;941;847
97;148;304;289
947;558;721;603
563;655;643;750
778;749;818;628
105;83;313;343
833;852;583;638
76;259;326;330
779;780;585;890
51;231;148;255
283;153;187;132
290;235;246;148
83;286;191;91
301;295;294;223
252;319;209;225
319;266;114;51
817;690;617;783
98;101;137;120
137;132;199;88
344;345;88;157
56;170;65;134
94;300;178;269
92;116;85;123
331;139;60;299
345;209;90;202
94;183;61;183
217;344;189;119
204;289;299;201
759;596;563;766
277;265;289;66
83;140;153;313
217;63;58;81
758;621;561;671
127;244;141;274
309;333;270;266
331;345;182;186
166;340;254;163
140;313;87;240
833;664;620;799
185;140;165;189
140;216;111;247
195;305;71;342
312;349;81;139
69;117;222;270
