1D;2D;3D;4D
208;211;174;346
155;301;143;179
554;943;731;886
121;168;138;139
233;350;122;340
82;260;152;296
238;214;57;140
703;641;774;858
845;873;581;853
114;151;106;135
194;157;306;69
89;333;308;190
225;339;91;232
190;275;152;65
285;121;131;185
93;145;100;255
149;183;79;53
72;202;180;312
291;121;115;136
95;169;232;251
723;867;869;800
618;910;841;680
226;285;257;269
57;296;261;119
200;226;210;296
208;242;278;208
314;141;311;135
68;181;69;272
258;296;283;85
213;68;275;192
80;114;184;52
609;572;811;729
142;308;197;199
297;331;192;296
139;180;239;85
330;272;238;182
796;656;782;763
723;764;572;698
287;123;128;98
732;612;731;616
901;818;765;629
115;71;53;59
148;314;174;114
101;139;68;114
89;59;256;298
227;226;141;51
348;181;232;309
111;110;144;119
229;263;215;274
89;311;235;143
240;290;276;209
859;718;775;736
198;75;279;302
692;555;878;816
309;112;208;234
182;149;150;268
350;343;138;310
243;202;114;94
810;925;902;936
262;338;164;87
87;82;223;133
154;95;195;268
247;157;168;338
641;680;777;579
57;325;312;206
335;126;297;100
68;251;240;342
161;290;125;276
217;65;231;62
98;74;265;146
250;119;88;74
270;173;212;209
116;139;344;68
166;149;106;346
563;762;843;808
88;233;329;246
194;205;142;281
53;105;228;314
287;202;59;212
238;306;91;304
711;583;780;744
225;108;226;90
897;896;623;932
108;317;161;231
319;296;265;275
138;109;339;279
227;257;176;325
949;911;650;794
236;105;253;210
159;90;186;101
232;126;300;129
862;676;831;644
304;277;67;293
208;106;77;150
179;284;323;213
334;183;239;84
190;252;117;322
812;725;760;699
57;102;64;299
215;253;86;137
102;317;127;99
595;712;566;585
252;138;69;329
337;154;146;109
201;215;225;224
607;613;659;597
790;619;599;631
56;201;265;344
182;64;149;93
205;218;175;106
168;294;339;312
700;881;928;870
56;183;257;307
210;324;67;64
326;50;243;139
655;557;792;553
558;829;631;709
705;641;645;828
94;277;114;216
722;665;722;719
702;855;840;922
317;153;332;127
239;62;137;125
312;147;148;331
253;87;154;222
703;745;823;877
227;138;219;132
896;858;854;604
804;836;946;647
156;309;226;63
296;275;90;127
803;773;812;758
312;304;73;264
322;206;191;293
181;293;196;342
226;346;185;153
849;630;905;635
242;243;144;71
806;803;640;581
210;192;265;64
53;100;266;254
202;84;240;218
168;291;178;192
254;253;249;209
116;139;346;183
227;254;273;119
234;242;54;310
276;324;116;270
91;341;300;136
320;312;209;333
323;91;139;318
589;783;647;832
200;62;122;58
183;119;112;333
190;145;70;77
102;51;113;136
308;157;163;155
743;784;558;675
99;232;252;169
96;82;336;194
238;207;225;202
101;272;345;342
185;85;220;246
899;944;877;938
180;148;295;130
150;185;127;135
259;95;244;323
85;261;84;165
101;122;264;147
256;273;149;146
730;790;572;616
848;932;724;684
205;107;342;166
261;62;269;234
759;637;859;932
342;105;166;155
328;206;230;219
196;243;102;327
332;274;170;350
67;240;79;143
647;940;786;791
141;256;231;313
665;642;912;801
267;234;180;213
87;233;349;182
348;82;57;305
102;70;232;251
114;235;204;247
315;276;236;176
349;294;202;345
276;161;291;247
119;149;294;294
114;110;223;116
302;194;99;178
138;236;220;323
350;126;328;80
73;207;76;123
315;166;189;128
332;219;258;297
198;69;147;179
167;220;144;93
339;222;128;161
129;331;309;167
253;50;140;243
346;229;117;304
199;301;297;128
246;110;345;313
915;844;638;857
133;344;101;72
259;283;238;276
552;789;695;924
295;120;331;218
299;113;218;306
221;169;109;275
177;261;312;315
89;175;204;57
230;283;222;328
143;110;262;309
117;182;104;219
273;98;116;70
748;894;851;862
114;333;200;200
125;237;72;289
209;240;185;258
347;282;241;167
198;152;312;178
300;60;269;298
177;103;308;201
235;317;51;56
73;166;348;312
830;721;668;835
738;562;751;878
212;245;168;333
256;250;159;206
266;197;264;75
145;314;255;336
82;246;139;266
97;225;328;185
271;312;179;87
216;177;177;271
82;82;332;281
102;317;162;217
339;238;231;303
298;202;77;98
215;170;196;108
157;250;250;133
121;246;91;297
79;140;102;339
135;262;258;62
